District,Year,june,july,august,september,october,Yield
ARARIYA,2006,0.599,0.566,0.626,0.728,0.676,3.63
ARARIYA,2007,0.553,0.577,0.528,0.728,0.687,3.86
ARARIYA,2008,0.58,0.489,0.556,0.71,0.671,3.56
ARARIYA,2009,0.574,0.561,0.543,0.738,0.701,2.99
ARARIYA,2010,0.6,0.524,0.578,0.72,0.718,5.25
ARARIYA,2011,0.636,0.561,0.543,0.738,0.701,4.27
ARARIYA,2012,0.483,0.51,0.756,0.756,0.729,3.86
ARARIYA,2013,0.658,0.494,0.632,0.755,0.714,5.34
ARARIYA,2014,0.536,0.506,0.593,0.761,0.735,4.01
ARWAL,2006,0.347,0.397,0.522,0.735,0.694,0
ARWAL,2007,0.302,0.367,0.424,0.782,0.761,3.52
ARWAL,2008,0.321,0.313,0.512,0.751,0.731,3.22
ARWAL,2009,0.312,0.328,0.367,0.65,0.707,3.09
ARWAL,2010,0.232,0.345,0.453,0.635,0.67,3.99
ARWAL,2011,0.318,0.328,0.367,0.65,0.707,4.47
ARWAL,2012,0.229,0.347,0.48,0.771,0.748,5.45
ARWAL,2013,0.319,0.402,0.486,0.701,0.758,4.82
ARWAL,2014,0.287,0.415,0.441,0.749,0.782,4.21
AURANGABAD,2006,0.338,0.421,0.454,0.69,0.68,1.67
AURANGABAD,2007,0.307,0.37,0.386,0.714,0.725,3.38
AURANGABAD,2008,0.337,0.348,0.503,0.717,0.705,3.33
AURANGABAD,2009,0.255,0.354,0.399,0.609,0.696,3.11
AURANGABAD,2010,0.212,0.385,0.486,0.617,0.674,4
AURANGABAD,2011,0.279,0.354,0.399,0.609,0.696,3.8
AURANGABAD,2012,0.21,0.303,0.453,0.743,0.75,4.8
AURANGABAD,2013,0.252,0.375,0.501,0.632,0.719,4.5
AURANGABAD,2014,0.245,0.41,0.459,0.712,0.753,4.6
BANKA,2006,0.412,0.471,0.485,0.712,0.733,2.12
BANKA,2007,0.428,0.491,0.42,0.756,0.716,3.83
BANKA,2008,0.348,0.427,0.514,0.737,0.766,1.82
BANKA,2009,0.383,0.499,0.438,0.728,0.746,2.85
BANKA,2010,0.28,0.492,0.482,0.72,0.723,4.8
BANKA,2011,0.457,0.499,0.438,0.728,0.746,5.55
BANKA,2012,0.247,0.412,0.53,0.731,0.76,6.16
BANKA,2013,0.482,0.542,0.521,0.728,0.784,5.22
BANKA,2014,0.423,0.481,0.523,0.761,0.782,4.14
BEGUSARAI,2006,0.293,0.526,0.594,0.556,0.486,1.38
