District,Year,june,july,august,september,october,Yield
ARARIYA,2006,0.599,0.566,0.626,0.728,0.676,1.49
ARARIYA,2007,0.553,0.577,0.528,0.728,0.687,1.46
ARARIYA,2008,0.58,0.489,0.556,0.71,0.671,1.67
ARARIYA,2009,0.574,0.561,0.543,0.738,0.701,1.33
ARARIYA,2010,0.6,0.524,0.578,0.72,0.718,1.96
ARARIYA,2011,0.636,0.561,0.543,0.738,0.701,2.1
ARARIYA,2012,0.483,0.51,0.756,0.756,0.729,3.45
ARARIYA,2013,0.658,0.494,0.632,0.755,0.714,2.4
ARARIYA,2014,0.536,0.506,0.593,0.761,0.735,2.06
ARWAL,2006,0.347,0.397,0.522,0.735,0.694,0
ARWAL,2007,0.302,0.367,0.424,0.782,0.761,1.16
ARWAL,2008,0.321,0.313,0.512,0.751,0.731,0
ARWAL,2009,0.312,0.328,0.367,0.65,0.707,0
ARWAL,2010,0.232,0.345,0.453,0.635,0.67,0
ARWAL,2011,0.318,0.328,0.367,0.65,0.707,0
ARWAL,2012,0.229,0.347,0.48,0.771,0.748,0
ARWAL,2013,0.319,0.402,0.486,0.701,0.758,0
ARWAL,2014,0.287,0.415,0.441,0.749,0.782,0
AURANGABAD,2006,0.338,0.421,0.454,0.69,0.68,0
AURANGABAD,2007,0.307,0.37,0.386,0.714,0.725,0
AURANGABAD,2008,0.337,0.348,0.503,0.717,0.705,0
AURANGABAD,2009,0.255,0.354,0.399,0.609,0.696,0
AURANGABAD,2010,0.212,0.385,0.486,0.617,0.674,0
AURANGABAD,2011,0.279,0.354,0.399,0.609,0.696,0
AURANGABAD,2012,0.21,0.303,0.453,0.743,0.75,0
AURANGABAD,2013,0.252,0.375,0.501,0.632,0.719,0
AURANGABAD,2014,0.245,0.41,0.459,0.712,0.753,0
BANKA,2006,0.412,0.471,0.485,0.712,0.733,0
BANKA,2007,0.428,0.491,0.42,0.756,0.716,0
BANKA,2008,0.348,0.427,0.514,0.737,0.766,0
BANKA,2009,0.383,0.499,0.438,0.728,0.746,0
BANKA,2010,0.28,0.492,0.482,0.72,0.723,0
BANKA,2011,0.457,0.499,0.438,0.728,0.746,0
BANKA,2012,0.247,0.412,0.53,0.731,0.76,0
BANKA,2013,0.482,0.542,0.521,0.728,0.784,0
BANKA,2014,0.423,0.481,0.523,0.761,0.782,0
BEGUSARAI,2006,0.293,0.526,0.594,0.556,0.486,1.27
BEGUSARAI,2007,0.312,0.396,0.412,0.421,0.403,1.18
BEGUSARAI,2008,0.295,0.402,0.538,0.509,0.536,1.62
BEGUSARAI,2009,0.318,0.433,0.577,0.63,0.495,1.68
BEGUSARAI,2010,0.301,0.441,0.565,0.561,0.487,1.93
BEGUSARAI,2011,0.334,0.433,0.577,0.63,0.495,1.75
BEGUSARAI,2012,0.268,0.314,0.604,0.64,0.534,2.6
BEGUSARAI,2013,0.394,0.534,0.591,0.53,0.512,2.33
BEGUSARAI,2014,0.335,0.506,0.573,0.61,0.504,2.5
BHABUA,2006,0.284,0.375,0.508,0.739,0.695,0
BHABUA,2007,0.275,0.34,0.435,0.738,0.744,0
BHABUA,2008,0.23,0.265,0.611,0.79,0.737,0
BHABUA,2009,0.2,0.297,0.393,0.624,0.659,0
BHABUA,2010,0.198,0.319,0.454,0.74,0.744,0
BHABUA,2011,0.232,0.298,0.393,0.624,0.659,0
BHABUA,2012,0.193,0.294,0.537,0.799,0.749,0
BHABUA,2013,0.233,0.351,0.549,0.739,0.784,0
BHABUA,2014,0.218,0.331,0.39,0.669,0.723,0
BHAGALPUR,2006,0.409,0.519,0.552,0.565,0.592,1.39
BHAGALPUR,2007,0.466,0.533,0.409,0.525,0.546,1.38
BHAGALPUR,2008,0.36,0.47,0.456,0.54,0.599,1.66
BHAGALPUR,2009,0.4,0.536,0.498,0.644,0.574,1.74
BHAGALPUR,2010,0.314,0.554,0.558,0.525,0.54,1.92
BHAGALPUR,2011,0.437,0.537,0.498,0.644,0.573,1.82
BHAGALPUR,2012,0.259,0.349,0.574,0.596,0.565,2.63
BHAGALPUR,2013,0.459,0.533,0.477,0.49,0.563,2.33
BHAGALPUR,2014,0.367,0.497,0.496,0.613,0.604,2.13
BHOJPUR,2006,0.35,0.356,0.448,0.671,0.65,1.3
BHOJPUR,2007,0.287,0.366,0.391,0.723,0.686,1.31
BHOJPUR,2008,0.3,0.299,0.505,0.684,0.67,1.32
BHOJPUR,2009,0.297,0.316,0.367,0.649,0.63,1.89
BHOJPUR,2010,0.213,0.364,0.488,0.628,0.638,1.5
BHOJPUR,2011,0.307,0.316,0.367,0.649,0.629,2.38
BHOJPUR,2012,0.208,0.373,0.473,0.735,0.688,2.5
BHOJPUR,2013,0.319,0.386,0.41,0.595,0.666,2.53
BHOJPUR,2014,0.282,0.375,0.357,0.695,0.698,2.6
BUXAR,2006,0.318,0.35,0.501,0.703,0.689,0
BUXAR,2007,0.26,0.348,0.385,0.742,0.724,0
BUXAR,2008,0.264,0.24,0.539,0.734,0.696,0
BUXAR,2009,0.226,0.256,0.345,0.617,0.612,0
BUXAR,2010,0.193,0.337,0.443,0.64,0.655,0
BUXAR,2011,0.292,0.256,0.346,0.616,0.611,0
BUXAR,2012,0.201,0.332,0.55,0.751,0.696,0
BUXAR,2013,0.263,0.356,0.492,0.654,0.708,0
BUXAR,2014,0.26,0.333,0.38,0.683,0.706,0
DRABHANGA,2006,0.381,0.429,0.495,0.599,0.585,1.51
DRABHANGA,2007,0.378,0.435,0.234,0.451,0.505,1.98
DRABHANGA,2008,0.39,0.416,0.493,0.691,0.679,1.47
DRABHANGA,2009,0.439,0.465,0.447,0.667,0.635,1.28
DRABHANGA,2010,0.383,0.442,0.491,0.678,0.646,1.65
DRABHANGA,2011,0.471,0.465,0.447,0.668,0.635,1.61
DRABHANGA,2012,0.335,0.327,0.557,0.722,0.69,2.01
DRABHANGA,2013,0.471,0.456,0.614,0.679,0.664,1.82
DRABHANGA,2014,0.379,0.457,0.515,0.639,0.679,1.69
GAYA,2006,0.322,0.456,0.546,0.668,0.612,1.36
GAYA,2007,0.299,0.395,0.413,0.713,0.703,1.23
GAYA,2008,0.32,0.377,0.518,0.679,0.651,1.87
GAYA,2009,0.329,0.421,0.467,0.555,0.559,1.46
GAYA,2010,0.229,0.406,0.533,0.547,0.55,2.31
GAYA,2011,0.299,0.422,0.467,0.555,0.559,2.4
GAYA,2012,0.231,0.335,0.525,0.698,0.679,2.44
GAYA,2013,0.38,0.503,0.51,0.586,0.621,0.55
GAYA,2014,0.361,0.515,0.487,0.704,0.713,2.53
GOPALGANJ,2006,0.344,0.447,0.621,0.707,0.605,0
GOPALGANJ,2007,0.318,0.387,0.508,0.646,0.6,0
GOPALGANJ,2008,0.31,0.375,0.601,0.659,0.577,0
GOPALGANJ,2009,0.345,0.34,0.564,0.698,0.588,0
GOPALGANJ,2010,0.276,0.393,0.569,0.673,0.669,0
GOPALGANJ,2011,0.311,0.34,0.564,0.698,0.588,0
GOPALGANJ,2012,0.246,0.295,0.674,0.727,0.66,0
GOPALGANJ,2013,0.357,0.427,0.609,0.688,0.659,0
GOPALGANJ,2014,0.334,0.432,0.609,0.717,0.648,0
JAHANABAD,2006,0.317,0.402,0.525,0.692,0.642,1.29
JAHANABAD,2007,0.321,0.388,0.374,0.752,0.753,1
JAHANABAD,2008,0.345,0.332,0.536,0.73,0.717,0
JAHANABAD,2009,0.391,0.417,0.459,0.548,0.549,0
JAHANABAD,2010,0.236,0.389,0.504,0.574,0.556,0
JAHANABAD,2011,0.28,0.416,0.459,0.548,0.549,0
JAHANABAD,2012,0.236,0.324,0.467,0.748,0.728,0
JAHANABAD,2013,0.381,0.515,0.491,0.617,0.65,0
JAHANABAD,2014,0.328,0.482,0.506,0.717,0.74,0
JAMUI,2006,0.388,0.459,0.552,0.721,0.694,0
JAMUI,2007,0.392,0.441,0.441,0.723,0.707,0
JAMUI,2008,0.343,0.454,0.481,0.712,0.705,0
JAMUI,2009,0.399,0.466,0.478,0.64,0.685,0
JAMUI,2010,0.301,0.505,0.493,0.604,0.603,0
