District,Year,november,december,january,february,Yield
ARARIYA,2006,0.465,0.385,0.519,0.586,0.7
ARARIYA,2007,0.481,0.39,0.614,0.608,1.81
ARARIYA,2008,0.452,0.386,0.525,0.583,1.12
ARARIYA,2009,0.52,0.349,0.512,0.606,1.72
ARARIYA,2010,0.516,0.376,0.544,0.633,2.44
ARARIYA,2011,0.52,0.364,0.5,0.593,2.48
ARARIYA,2012,0.567,0.374,0.478,0.631,3.73
ARARIYA,2013,0.497,0.376,0.552,0.647,2.79
ARARIYA,2014,0.541,0.43,0.592,0.637,1.17
ARWAL,2006,0.607,0.386,0.466,0.656,0
ARWAL,2007,0.682,0.374,0.582,0.601,2.36
ARWAL,2008,0.55,0.353,0.524,0.561,1.79
ARWAL,2009,0.603,0.423,0.507,0.612,1.87
ARWAL,2010,0.619,0.425,0.477,0.606,1.74
ARWAL,2011,0.603,0.388,0.522,0.612,2.53
ARWAL,2012,0.66,0.382,0.468,0.646,2.47
ARWAL,2013,0.642,0.423,0.516,0.647,2.07
ARWAL,2014,0.563,0.397,0.582,0.606,1.7
AURANGABAD,2006,0.553,0.375,0.408,0.551,2.03
AURANGABAD,2007,0.644,0.368,0.522,0.532,1.89
AURANGABAD,2008,0.578,0.334,0.426,0.448,1.12
AURANGABAD,2009,0.608,0.405,0.436,0.51,1.49
AURANGABAD,2010,0.626,0.421,0.45,0.523,2.01
AURANGABAD,2011,0.608,0.365,0.474,0.547,2.26
AURANGABAD,2012,0.674,0.367,0.416,0.554,2.15
AURANGABAD,2013,0.608,0.402,0.52,0.585,3.01
AURANGABAD,2014,0.553,0.361,0.513,0.551,2.02
BANKA,2006,0.509,0.353,0.373,0.509,1.85
BANKA,2007,0.583,0.333,0.481,0.501,2.45
BANKA,2008,0.568,0.36,0.448,0.457,2.79
BANKA,2009,0.644,0.361,0.373,0.434,1.86
BANKA,2010,0.636,0.379,0.389,0.449,1.8
BANKA,2011,0.645,0.347,0.476,0.494,3.04
BANKA,2012,0.645,0.405,0.386,0.501,2.55
BANKA,2013,0.597,0.393,0.459,0.501,2.7
BANKA,2014,0.529,0.355,0.457,0.515,1.77
BEGUSARAI,2006,0.463,0.606,0.651,0.682,2.17
BEGUSARAI,2007,0.356,0.449,0.665,0.693,2.25
BEGUSARAI,2008,0.389,0.486,0.67,0.634,1.97
BEGUSARAI,2009,0.391,0.525,0.648,0.652,1.9
BEGUSARAI,2010,0.422,0.477,0.584,0.654,2.66
BEGUSARAI,2011,0.391,0.541,0.664,0.657,3.76
BEGUSARAI,2012,0.409,0.456,0.609,0.699,2.93
BEGUSARAI,2013,0.39,0.523,0.657,0.688,3.37
BEGUSARAI,2014,0.378,0.537,0.655,0.699,1.19
BHABUA,2006,0.609,0.385,0.451,0.614,0
BHABUA,2007,0.607,0.338,0.607,0.62,0
BHABUA,2008,0.504,0.352,0.572,0.585,0
BHABUA,2009,0.569,0.426,0.55,0.638,0
BHABUA,2010,0.63,0.37,0.489,0.617,0
BHABUA,2011,0.568,0.35,0.529,0.618,0
BHABUA,2012,0.646,0.341,0.505,0.653,0
BHABUA,2013,0.648,0.378,0.528,0.675,0
BHABUA,2014,0.579,0.392,0.611,0.642,0
BHAGALPUR,2006,0.489,0.479,0.483,0.566,1.67
BHAGALPUR,2007,0.501,0.431,0.567,0.601,2.01
BHAGALPUR,2008,0.474,0.467,0.544,0.547,1.91
BHAGALPUR,2009,0.503,0.466,0.503,0.541,2.12
BHAGALPUR,2010,0.477,0.453,0.488,0.567,2.58
BHAGALPUR,2011,0.502,0.43,0.571,0.587,3.11
BHAGALPUR,2012,0.456,0.449,0.499,0.615,2.43
BHAGALPUR,2013,0.459,0.374,0.567,0.614,2.71
BHAGALPUR,2014,0.42,0.48,0.59,0.622,1.14
BHOJPUR,2006,0.528,0.387,0.477,0.665,2.53
BHOJPUR,2007,0.584,0.382,0.614,0.627,3.29
BHOJPUR,2008,0.477,0.377,0.597,0.614,2.72
BHOJPUR,2009,0.527,0.415,0.519,0.623,3.33
BHOJPUR,2010,0.576,0.391,0.486,0.635,2.6
BHOJPUR,2011,0.527,0.381,0.525,0.638,3.02
BHOJPUR,2012,0.591,0.368,0.497,0.672,2.59
BHOJPUR,2013,0.545,0.414,0.565,0.669,2.83
BHOJPUR,2014,0.517,0.411,0.593,0.632,1.83
BUXAR,2006,0.528,0.37,0.459,0.676,2.03
BUXAR,2007,0.601,0.348,0.63,0.647,2.96
BUXAR,2008,0.459,0.347,0.61,0.639,2.85
BUXAR,2009,0.533,0.415,0.545,0.668,2.25
BUXAR,2010,0.562,0.388,0.511,0.652,2.93
BUXAR,2011,0.532,0.343,0.535,0.647,3.04
BUXAR,2012,0.567,0.341,0.516,0.691,2.72
BUXAR,2013,0.548,0.371,0.563,0.699,2.99
BUXAR,2014,0.515,0.379,0.605,0.654,1.58
DRABHANGA,2006,0.448,0.428,0.499,0.652,1.88
DRABHANGA,2007,0.464,0.41,0.612,0.635,2.68
DRABHANGA,2008,0.429,0.396,0.614,0.603,2.31
DRABHANGA,2009,0.492,0.409,0.532,0.631,2.11
DRABHANGA,2010,0.515,0.386,0.532,0.615,2.34
DRABHANGA,2011,0.492,0.399,0.576,0.601,3.71
DRABHANGA,2012,0.526,0.407,0.524,0.664,2.41
DRABHANGA,2013,0.484,0.407,0.612,0.644,2.63
DRABHANGA,2014,0.488,0.484,0.632,0.651,1.5
GAYA,2006,0.465,0.407,0.441,0.536,2.13
GAYA,2007,0.543,0.366,0.519,0.537,2.39
GAYA,2008,0.47,0.339,0.449,0.457,2.2
GAYA,2009,0.456,0.45,0.501,0.514,2.19
GAYA,2010,0.511,0.432,0.47,0.493,2.2
GAYA,2011,0.456,0.374,0.5,0.547,2.78
GAYA,2012,0.557,0.401,0.451,0.541,2.46
GAYA,2013,0.513,0.429,0.551,0.585,1.91
GAYA,2014,0.456,0.38,0.548,0.571,2.47
GOPALGANJ,2006,0.461,0.461,0.506,0.662,2.5
GOPALGANJ,2007,0.416,0.391,0.603,0.601,1.93
GOPALGANJ,2008,0.367,0.422,0.633,0.626,1.56
GOPALGANJ,2009,0.423,0.387,0.565,0.629,2.02
GOPALGANJ,2010,0.486,0.373,0.531,0.656,3.39
GOPALGANJ,2011,0.423,0.4,0.593,0.622,3.29
GOPALGANJ,2012,0.455,0.327,0.536,0.667,3.44
GOPALGANJ,2013,0.458,0.399,0.513,0.666,3.19
GOPALGANJ,2014,0.441,0.457,0.602,0.601,0.97
