District,Year,june,july,august,september,october,november,Yield
BHIWANI,2006,0.177,0.28,0.455,0.449,0.311,0.252,59.36
BHIWANI,2007,0.197,0.363,0.521,0.492,0.337,0.243,64.55
BHIWANI,2008,0.291,0.409,0.517,0.438,0.302,0.293,50.12
BHIWANI,2009,0.172,0.236,0.384,0.473,0.33,0.255,91.31
BHIWANI,2010,0.17,0.332,0.556,0.568,0.358,0.323,8.6
BHIWANI,2011,0.215,0.235,0.384,0.473,0.331,0.255,6.5
BHIWANI,2012,0.162,0.206,0.364,0.582,0.475,0.32,51.97
BHIWANI,2013,0.202,0.259,0.619,0.573,0.434,0.287,75.5
BHIWANI,2014,0.211,0.293,0.54,0.541,0.348,0.274,76
FARIDABAD,2006,0.264,0.411,0.613,0.593,0.422,0.273,49.22
FARIDABAD,2007,0.349,0.472,0.56,0.545,0.444,0.247,60.17
FARIDABAD,2008,0.348,0.44,0.632,0.593,0.458,0.288,59.6
FARIDABAD,2009,0.24,0.351,0.54,0.637,0.518,0.277,67.42
FARIDABAD,2010,0.236,0.417,0.535,0.585,0.483,0.295,6.18
FARIDABAD,2011,0.276,0.352,0.54,0.637,0.517,0.277,13.82
FARIDABAD,2012,0.23,0.343,0.554,0.672,0.488,0.267,110.78
FARIDABAD,2013,0.298,0.373,0.625,0.609,0.524,0.29,67.42
FARIDABAD,2014,0.271,0.35,0.537,0.586,0.452,0.255,60.17
FATEHABAD,2006,0.208,0.431,0.675,0.703,0.515,0.342,100.93
FATEHABAD,2007,0.236,0.437,0.657,0.705,0.547,0.349,55.83
FATEHABAD,2008,0.248,0.472,0.711,0.705,0.475,0.35,86.39
FATEHABAD,2009,0.201,0.415,0.589,0.711,0.564,0.287,55.83
FATEHABAD,2010,0.203,0.335,0.657,0.733,0.617,0.385,86.39
FATEHABAD,2011,0.197,0.415,0.589,0.712,0.565,0.287,55.83
FATEHABAD,2012,0.172,0.332,0.676,0.824,0.637,0.372,86.39
FATEHABAD,2013,0.214,0.358,0.721,0.723,0.582,0.332,100.93
FATEHABAD,2014,0.181,0.335,0.663,0.719,0.503,0.314,40
GURGAON,2006,0.214,0.322,0.509,0.486,0.311,0.267,0
GURGAON,2007,0.243,0.457,0.58,0.457,0.327,0.253,0
GURGAON,2008,0.33,0.516,0.592,0.438,0.331,0.328,0
GURGAON,2009,0.208,0.339,0.54,0.531,0.348,0.3,0
