District,Year,october,november,december,january,february,Yield
BHIWANI,2006,0.311,0.252,0.407,0.477,0.599,3.96
BHIWANI,2007,0.337,0.243,0.359,0.527,0.537,3.39
BHIWANI,2008,0.302,0.293,0.473,0.606,0.639,3.95
BHIWANI,2009,0.33,0.255,0.416,0.566,0.604,3.58
BHIWANI,2010,0.358,0.323,0.407,0.566,0.673,4.47
BHIWANI,2011,0.331,0.255,0.404,0.541,0.622,4.29
BHIWANI,2012,0.475,0.32,0.375,0.516,0.691,4.04
BHIWANI,2013,0.434,0.287,0.48,0.625,0.713,4.23
BHIWANI,2014,0.348,0.274,0.431,0.594,0.666,3.85
FARIDABAD,2006,0.422,0.273,0.452,0.551,0.662,3.71
FARIDABAD,2007,0.444,0.247,0.393,0.592,0.598,4.67
FARIDABAD,2008,0.458,0.288,0.462,0.622,0.653,4.72
FARIDABAD,2009,0.518,0.277,0.377,0.601,0.643,4.02
FARIDABAD,2010,0.483,0.295,0.372,0.549,0.692,4.58
FARIDABAD,2011,0.517,0.277,0.439,0.591,0.599,4.92
FARIDABAD,2012,0.488,0.267,0.371,0.541,0.659,4.54
FARIDABAD,2013,0.524,0.29,0.475,0.607,0.69,4.67
FARIDABAD,2014,0.452,0.255,0.395,0.611,0.639,3.32
FATEHABAD,2006,0.515,0.342,0.499,0.662,0.787,4.62
FATEHABAD,2007,0.547,0.349,0.448,0.738,0.742,4.65
FATEHABAD,2008,0.475,0.35,0.528,0.759,0.802,5.13
FATEHABAD,2009,0.564,0.287,0.411,0.694,0.766,4.53
FATEHABAD,2010,0.617,0.385,0.373,0.659,0.778,5.09
FATEHABAD,2011,0.565,0.287,0.449,0.633,0.76,5.46
FATEHABAD,2012,0.637,0.372,0.394,0.591,0.794,4.68
FATEHABAD,2013,0.582,0.332,0.54,0.728,0.806,5.32
FATEHABAD,2014,0.503,0.314,0.528,0.69,0.807,4.86
GURGAON,2006,0.311,0.267,0.53,0.586,0.656,3.93
GURGAON,2007,0.327,0.253,0.483,0.58,0.585,3.91
GURGAON,2008,0.331,0.328,0.559,0.644,0.63,4.24
GURGAON,2009,0.348,0.3,0.533,0.638,0.629,4.4
GURGAON,2010,0.369,0.327,0.493,0.595,0.674,4.72
GURGAON,2011,0.348,0.3,0.503,0.594,0.586,4.92
GURGAON,2012,0.417,0.31,0.455,0.567,0.644,4.59
