District,Year,june,july,august,september,october,november,Yield
AHMADNAGAR,2006,0.317,0.417,0.517,0.6,0.572,0.51,0.79
AHMADNAGAR,2007,0.35,0.462,0.527,0.593,0.525,0.461,1.19
AHMADNAGAR,2008,0.261,0.266,0.418,0.552,0.53,0.451,0.98
AHMADNAGAR,2009,0.281,0.396,0.473,0.592,0.548,0.498,0.38
AHMADNAGAR,2010,0.314,0.369,0.543,0.636,0.582,0.566,0.93
AHMADNAGAR,2011,0.317,0.396,0.473,0.592,0.548,0.498,0.99
AHMADNAGAR,2012,0.268,0.298,0.425,0.526,0.547,0.482,0.61
AHMADNAGAR,2013,0.253,0.323,0.547,0.59,0.587,0.515,2.41
AHMADNAGAR,2014,0.304,0.319,0.448,0.564,0.508,0.484,0.26
AKOLA,2006,0.234,0.29,0.573,0.664,0.627,0.55,0
AKOLA,2007,0.237,0.446,0.649,0.696,0.59,0.513,0
AKOLA,2008,0.202,0.297,0.62,0.701,0.609,0.497,0
AKOLA,2009,0.192,0.281,0.577,0.732,0.622,0.553,0
AKOLA,2010,0.245,0.397,0.63,0.689,0.583,0.615,0
AKOLA,2011,0.231,0.281,0.577,0.732,0.622,0.553,0
AKOLA,2012,0.238,0.359,0.656,0.73,0.626,0.527,0
AKOLA,2013,0.224,0.281,0.608,0.753,0.662,0.571,0
AKOLA,2014,0.226,0.225,0.566,0.735,0.637,0.484,0
AMARAVATI,2006,0.25,0.251,0.602,0.706,0.64,0.581,0.54
AMARAVATI,2007,0.25,0.491,0.676,0.721,0.603,0.516,0.83
AMARAVATI,2008,0.227,0.326,0.603,0.726,0.633,0.515,0.4
AMARAVATI,2009,0.209,0.379,0.618,0.752,0.625,0.562,1.44
AMARAVATI,2010,0.253,0.409,0.664,0.712,0.613,0.643,0.74
AMARAVATI,2011,0.248,0.378,0.618,0.752,0.625,0.562,0.76
AMARAVATI,2012,0.258,0.356,0.679,0.744,0.615,0.563,0.39
AMARAVATI,2013,0.244,0.318,0.585,0.771,0.693,0.622,0.17
AMARAVATI,2014,0.246,0.276,0.566,0.726,0.664,0.536,0.3
AURANGABAD,2006,0.262,0.328,0.496,0.667,0.639,0.552,1
AURANGABAD,2007,0.28,0.405,0.578,0.72,0.639,0.51,0
AURANGABAD,2008,0.222,0.245,0.475,0.608,0.579,0.494,0
AURANGABAD,2009,0.224,0.292,0.461,0.653,0.617,0.544,0
AURANGABAD,2010,0.247,0.29,0.573,0.697,0.625,0.617,0
AURANGABAD,2011,0.276,0.291,0.461,0.653,0.617,0.544,0
AURANGABAD,2012,0.249,0.266,0.488,0.649,0.631,0.502,0
AURANGABAD,2013,0.244,0.316,0.584,0.728,0.668,0.592,0
AURANGABAD,2014,0.256,0.277,0.517,0.674,0.617,0.512,0
BHANDARA,2006,0.358,0.314,0.574,0.751,0.702,0.509,0
BHANDARA,2007,0.281,0.436,0.65,0.784,0.67,0.482,1.79
BHANDARA,2008,0.272,0.472,0.558,0.755,0.709,0.528,0.72
BHANDARA,2009,0.251,0.349,0.59,0.766,0.702,0.551,1
BHANDARA,2010,0.35,0.411,0.621,0.753,0.714,0.55,1.43
BHANDARA,2011,0.309,0.348,0.59,0.766,0.702,0.551,1.71
BHANDARA,2012,0.339,0.426,0.603,0.759,0.701,0.529,2.03
BHANDARA,2013,0.343,0.391,0.501,0.781,0.742,0.556,1.63
BHANDARA,2014,0.309,0.356,0.62,0.762,0.761,0.575,1.62
BID,2006,0.315,0.346,0.487,0.602,0.605,0.547,0.75
BID,2007,0.297,0.386,0.553,0.652,0.58,0.491,0.47
BID,2008,0.224,0.222,0.438,0.602,0.576,0.49,0.4
BID,2009,0.239,0.34,0.428,0.657,0.626,0.574,0.33
BID,2010,0.279,0.296,0.545,0.709,0.625,0.619,0.38
BID,2011,0.292,0.34,0.428,0.657,0.626,0.574,0.5
BID,2012,0.24,0.315,0.512,0.623,0.599,0.543,0.5
BID,2013,0.226,0.282,0.548,0.69,0.665,0.597,0.6
BID,2014,0.265,0.298,0.504,0.666,0.557,0.504,0.25
BULDHANA,2006,0.237,0.31,0.614,0.694,0.618,0.528,0
BULDHANA,2007,0.239,0.476,0.698,0.752,0.581,0.5,0
BULDHANA,2008,0.202,0.281,0.634,0.738,0.597,0.469,0
BULDHANA,2009,0.194,0.32,0.573,0.755,0.61,0.58,0
BULDHANA,2010,0.214,0.432,0.668,0.688,0.596,0.614,0
BULDHANA,2011,0.238,0.32,0.573,0.755,0.61,0.58,0
BULDHANA,2012,0.225,0.324,0.669,0.76,0.631,0.527,0
BULDHANA,2013,0.2,0.325,0.642,0.775,0.661,0.571,0
BULDHANA,2014,0.235,0.233,0.601,0.744,0.59,0.484,0
CHANDRAPUR,2006,0.3,0.384,0.576,0.711,0.655,0.545,1.38
CHANDRAPUR,2007,0.252,0.475,0.638,0.735,0.663,0.52,1.56
CHANDRAPUR,2008,0.239,0.443,0.607,0.713,0.664,0.524,0.85
CHANDRAPUR,2009,0.229,0.411,0.558,0.711,0.659,0.552,0.62
CHANDRAPUR,2010,0.306,0.364,0.601,0.715,0.675,0.619,1.4
CHANDRAPUR,2011,0.269,0.411,0.558,0.711,0.659,0.552,1.26
CHANDRAPUR,2012,0.248,0.382,0.568,0.706,0.677,0.589,1.58
CHANDRAPUR,2013,0.302,0.422,0.475,0.718,0.703,0.613,1.32
CHANDRAPUR,2014,0.271,0.382,0.583,0.715,0.714,0.623,0.75
DHULE,2006,0.229,0.318,0.545,0.632,0.593,0.458,0.41
DHULE,2007,0.255,0.423,0.582,0.662,0.592,0.453,0.8
DHULE,2008,0.223,0.273,0.506,0.627,0.547,0.416,0.56
DHULE,2009,0.218,0.312,0.521,0.619,0.529,0.485,0.49
DHULE,2010,0.229,0.348,0.554,0.645,0.564,0.545,1.34
DHULE,2011,0.251,0.312,0.521,0.619,0.529,0.485,0.67
DHULE,2012,0.232,0.266,0.584,0.667,0.591,0.432,0.96
DHULE,2013,0.266,0.365,0.597,0.662,0.645,0.521,1.26
DHULE,2014,0.25,0.241,0.564,0.648,0.563,0.484,0
GADCHIROLI,2006,0.396,0.425,0.534,0.694,0.675,0.577,1.47
GADCHIROLI,2007,0.321,0.497,0.595,0.709,0.68,0.543,1.5
GADCHIROLI,2008,0.319,0.518,0.565,0.708,0.682,0.55,0.83
GADCHIROLI,2009,0.28,0.444,0.529,0.703,0.698,0.592,0.75
GADCHIROLI,2010,0.372,0.437,0.599,0.717,0.696,0.614,1.49
GADCHIROLI,2011,0.338,0.444,0.529,0.702,0.697,0.592,1.2
GADCHIROLI,2012,0.291,0.457,0.544,0.714,0.702,0.589,1.51
GADCHIROLI,2013,0.377,0.425,0.469,0.733,0.713,0.615,1.47
GADCHIROLI,2014,0.335,0.421,0.592,0.716,0.735,0.624,1.32
GONDIYA,2006,0.379,0.375,0.554,0.764,0.712,0.539,1.12
GONDIYA,2007,0.305,0.467,0.66,0.802,0.704,0.506,1.66
GONDIYA,2008,0.302,0.52,0.576,0.779,0.719,0.547,0.71
GONDIYA,2009,0.276,0.394,0.592,0.787,0.718,0.556,1.09
GONDIYA,2010,0.387,0.484,0.653,0.775,0.738,0.548,1.72
GONDIYA,2011,0.34,0.394,0.592,0.787,0.718,0.555,1.71
GONDIYA,2012,0.323,0.488,0.599,0.777,0.719,0.53,1.89
GONDIYA,2013,0.365,0.455,0.497,0.799,0.749,0.574,1.56
GONDIYA,2014,0.34,0.424,0.634,0.778,0.77,0.586,1.95
HINGOLI,2006,0.274,0.377,0.672,0.684,0.602,0.528,0.47
HINGOLI,2007,0.283,0.599,0.721,0.75,0.58,0.517,0.46
HINGOLI,2008,0.231,0.31,0.625,0.752,0.611,0.49,0.6
HINGOLI,2009,0.218,0.377,0.552,0.761,0.614,0.564,0.33
HINGOLI,2010,0.246,0.372,0.639,0.706,0.609,0.618,0.64
HINGOLI,2011,0.283,0.377,0.552,0.761,0.614,0.564,0.33
HINGOLI,2012,0.242,0.328,0.662,0.783,0.654,0.584,0.33
HINGOLI,2013,0.24,0.29,0.586,0.742,0.649,0.58,0.4
HINGOLI,2014,0.276,0.322,0.579,0.747,0.622,0.483,0.6
JALGAON,2006,0.257,0.359,0.575,0.664,0.638,0.52,1
JALGAON,2007,0.286,0.469,0.639,0.734,0.633,0.517,1
JALGAON,2008,0.246,0.326,0.59,0.689,0.587,0.493,0.5
JALGAON,2009,0.242,0.36,0.548,0.68,0.599,0.586,1.5
JALGAON,2010,0.249,0.392,0.632,0.694,0.611,0.63,1.7
JALGAON,2011,0.282,0.36,0.548,0.68,0.599,0.586,1.9
JALGAON,2012,0.266,0.317,0.595,0.715,0.629,0.495,2
JALGAON,2013,0.258,0.351,0.624,0.706,0.668,0.587,2
JALGAON,2014,0.275,0.27,0.603,0.693,0.609,0.544,2.2
JALNA,2006,0.267,0.326,0.501,0.648,0.633,0.555,0
JALNA,2007,0.254,0.396,0.58,0.73,0.611,0.513,0
JALNA,2008,0.205,0.235,0.516,0.636,0.588,0.489,0
JALNA,2009,0.208,0.295,0.471,0.657,0.618,0.584,0
JALNA,2010,0.223,0.279,0.583,0.693,0.617,0.625,0
JALNA,2011,0.248,0.296,0.471,0.657,0.618,0.584,0
JALNA,2012,0.224,0.241,0.478,0.649,0.597,0.512,0
JALNA,2013,0.207,0.299,0.559,0.718,0.658,0.587,0
JALNA,2014,0.238,0.249,0.525,0.663,0.569,0.489,0
KOLHAPUR,2006,0.571,0.594,0.599,0.714,0.713,0.628,2.59
KOLHAPUR,2007,0.484,0.528,0.636,0.712,0.691,0.6,3
KOLHAPUR,2008,0.468,0.578,0.638,0.705,0.646,0.545,2.51
KOLHAPUR,2009,0.478,0.535,0.649,0.745,0.714,0.615,2.59
KOLHAPUR,2010,0.494,0.576,0.63,0.725,0.714,0.674,2.88
KOLHAPUR,2011,0.51,0.535,0.649,0.745,0.714,0.615,2.67
KOLHAPUR,2012,0.485,0.563,0.644,0.697,0.715,0.63,2.62
KOLHAPUR,2013,0.491,0.566,0.636,0.737,0.709,0.634,3.12
KOLHAPUR,2014,0.554,0.571,0.649,0.718,0.689,0.639,3.02
LATUR,2006,0.328,0.388,0.604,0.636,0.638,0.582,0.42
LATUR,2007,0.283,0.44,0.644,0.682,0.596,0.521,0.47
LATUR,2008,0.224,0.225,0.486,0.705,0.66,0.48,0.36
LATUR,2009,0.248,0.35,0.449,0.679,0.625,0.549,0.41
LATUR,2010,0.243,0.285,0.618,0.704,0.614,0.634,0.44
LATUR,2011,0.288,0.35,0.449,0.679,0.625,0.549,0.48
LATUR,2012,0.23,0.426,0.678,0.765,0.622,0.6,0.6
LATUR,2013,0.28,0.325,0.647,0.727,0.656,0.6,0.67
LATUR,2014,0.291,0.338,0.629,0.721,0.568,0.475,0.19
MUMBAI CITY,2006,0.505,0.525,0.525,0.574,0.546,0.591,0
MUMBAI CITY,2007,0.388,0.443,0.482,0.563,0.584,0.494,0
MUMBAI CITY,2008,0.477,0.205,0.305,0.525,0.494,0.561,0
MUMBAI CITY,2009,0.372,0.525,0.267,0.623,0.6,0.468,0
MUMBAI CITY,2010,0.406,0.334,0.433,0.55,0.481,0.594,0
MUMBAI CITY,2011,0.453,0.525,0.26,0.626,0.588,0.466,0
MUMBAI CITY,2012,0.297,0.391,0.462,0.505,0.61,0.543,0
