District,Year,june,july,august,september,october,november,Yield
Amritsar,2006,0.263,0.526,0.755,0.586,0.403,0.422,4.5
Amritsar,2007,0.302,0.601,0.734,0.602,0.406,0.353,5
Amritsar,2008,0.276,0.496,0.706,0.68,0.413,0.357,4
Amritsar,2009,0.24,0.404,0.746,0.768,0.549,0.336,4
Amritsar,2010,0.24,0.376,0.721,0.746,0.562,0.372,3
Amritsar,2011,0.262,0.404,0.746,0.768,0.549,0.336,6
Amritsar,2012,0.23,0.412,0.723,0.78,0.478,0.391,5
Amritsar,2013,0.276,0.479,0.761,0.719,0.485,0.372,4
Amritsar,2014,0.233,0.428,0.688,0.721,0.488,0.397,4
Barnala,2006,0.208,0.556,0.784,0.749,0.541,0.31,0
Barnala,2007,0.257,0.546,0.78,0.74,0.537,0.295,0
Barnala,2008,0.238,0.522,0.764,0.747,0.54,0.297,0
Barnala,2009,0.217,0.538,0.768,0.791,0.564,0.25,0
Barnala,2010,0.225,0.392,0.828,0.793,0.684,0.299,0
Barnala,2011,0.228,0.538,0.768,0.791,0.564,0.25,0
Barnala,2012,0.188,0.457,0.718,0.82,0.646,0.315,0
Barnala,2013,0.226,0.508,0.783,0.768,0.596,0.308,0
Barnala,2014,0.192,0.532,0.757,0.797,0.559,0.307,0
Bathinda,2006,0.231,0.448,0.679,0.689,0.518,0.374,0
Bathinda,2007,0.242,0.461,0.677,0.722,0.521,0.355,0
Bathinda,2008,0.214,0.471,0.716,0.715,0.502,0.347,0
Bathinda,2009,0.22,0.466,0.669,0.731,0.552,0.292,0
Bathinda,2010,0.217,0.388,0.764,0.749,0.62,0.371,0
Bathinda,2011,0.202,0.466,0.669,0.731,0.552,0.292,0
Bathinda,2012,0.185,0.422,0.683,0.783,0.609,0.374,0
Bathinda,2013,0.241,0.411,0.715,0.72,0.544,0.353,0
Bathinda,2014,0.192,0.4,0.696,0.76,0.52,0.319,0
Faridkot,2006,0.234,0.529,0.726,0.634,0.396,0.341,0
Faridkot,2007,0.288,0.565,0.706,0.647,0.391,0.311,0
Faridkot,2008,0.221,0.538,0.718,0.675,0.366,0.281,0
Faridkot,2009,0.216,0.538,0.711,0.725,0.453,0.255,0
Faridkot,2010,0.207,0.414,0.781,0.734,0.527,0.286,0
Faridkot,2011,0.212,0.538,0.711,0.725,0.453,0.255,0
Faridkot,2012,0.187,0.486,0.717,0.781,0.495,0.307,0
Faridkot,2013,0.21,0.534,0.749,0.711,0.451,0.331,0
Faridkot,2014,0.186,0.422,0.711,0.754,0.436,0.306,0
Fatehgarh Sahib,2006,0.221,0.464,0.816,0.77,0.599,0.368,4
Fatehgarh Sahib,2007,0.277,0.597,0.808,0.781,0.574,0.308,3
Fatehgarh Sahib,2008,0.275,0.52,0.774,0.77,0.544,0.311,4
Fatehgarh Sahib,2009,0.251,0.515,0.786,0.801,0.574,0.291,3
Fatehgarh Sahib,2010,0.272,0.451,0.844,0.767,0.644,0.342,3.4
Fatehgarh Sahib,2011,0.283,0.516,0.786,0.801,0.574,0.291,3.8
Fatehgarh Sahib,2012,0.234,0.469,0.817,0.835,0.661,0.323,4
Fatehgarh Sahib,2013,0.258,0.659,0.787,0.77,0.576,0.336,4
Fatehgarh Sahib,2014,0.246,0.487,0.764,0.789,0.48,0.376,4
Fazilka,2006,0.253,0.488,0.677,0.658,0.496,0.396,0
Fazilka,2007,0.267,0.471,0.656,0.703,0.548,0.398,0
Fazilka,2008,0.211,0.419,0.659,0.67,0.477,0.351,0
Fazilka,2009,0.211,0.339,0.632,0.684,0.516,0.315,0
Fazilka,2010,0.216,0.362,0.68,0.707,0.586,0.39,0
Fazilka,2011,0.243,0.339,0.632,0.684,0.516,0.314,0
Fazilka,2012,0.202,0.392,0.661,0.731,0.61,0.374,0
Fazilka,2013,0.247,0.451,0.683,0.683,0.548,0.374,0
Fazilka,2014,0.217,0.384,0.611,0.705,0.61,0.389,0
Firozepur,2006,0.222,0.604,0.789,0.618,0.29,0.327,0
Firozepur,2007,0.308,0.649,0.744,0.651,0.346,0.269,0
Firozepur,2008,0.202,0.572,0.747,0.715,0.345,0.271,0
Firozepur,2009,0.207,0.49,0.768,0.757,0.525,0.233,0
Firozepur,2010,0.206,0.43,0.793,0.755,0.535,0.287,0
Firozepur,2011,0.221,0.49,0.768,0.757,0.525,0.233,0
Firozepur,2012,0.19,0.493,0.781,0.811,0.473,0.293,0
Firozepur,2013,0.204,0.541,0.771,0.759,0.464,0.266,0
Firozepur,2014,0.189,0.404,0.748,0.789,0.497,0.301,0
Gurdaspur,2006,0.242,0.536,0.787,0.673,0.407,0.462,2.23
Gurdaspur,2007,0.327,0.597,0.792,0.708,0.413,0.396,2.15
Gurdaspur,2008,0.293,0.485,0.746,0.722,0.42,0.353,2.31
Gurdaspur,2009,0.237,0.44,0.78,0.784,0.479,0.314,2.27
Gurdaspur,2010,0.244,0.431,0.763,0.784,0.603,0.356,2.73
Gurdaspur,2011,0.282,0.44,0.78,0.784,0.479,0.314,2.5
Gurdaspur,2012,0.252,0.473,0.751,0.805,0.544,0.383,2.5
Gurdaspur,2013,0.31,0.594,0.79,0.754,0.527,0.373,2
Gurdaspur,2014,0.259,0.456,0.716,0.768,0.505,0.386,3
Hoshiarpur,2006,0.325,0.506,0.72,0.663,0.5,0.484,3.31
Hoshiarpur,2007,0.347,0.598,0.709,0.651,0.46,0.427,3.29
Hoshiarpur,2008,0.39,0.56,0.703,0.619,0.46,0.433,3.46
Hoshiarpur,2009,0.303,0.491,0.696,0.676,0.484,0.414,3.58
Hoshiarpur,2010,0.313,0.521,0.719,0.698,0.555,0.43,3.83
Hoshiarpur,2011,0.381,0.491,0.696,0.676,0.484,0.414,4.08
Hoshiarpur,2012,0.324,0.509,0.708,0.715,0.567,0.458,4.07
Hoshiarpur,2013,0.408,0.66,0.745,0.675,0.557,0.465,3.93
Hoshiarpur,2014,0.335,0.519,0.7,0.707,0.519,0.473,3.76
Jalandhar,2006,0.266,0.495,0.746,0.702,0.442,0.417,3.17
Jalandhar,2007,0.325,0.585,0.716,0.669,0.412,0.362,3.77
Jalandhar,2008,0.329,0.519,0.705,0.664,0.409,0.387,3.42
Jalandhar,2009,0.267,0.481,0.732,0.731,0.476,0.336,3.5
Jalandhar,2010,0.27,0.441,0.761,0.709,0.54,0.378,3.89
Jalandhar,2011,0.307,0.481,0.732,0.732,0.476,0.336,4.63
Jalandhar,2012,0.284,0.448,0.707,0.761,0.511,0.398,3.38
Jalandhar,2013,0.332,0.583,0.747,0.731,0.502,0.36,3.25
Jalandhar,2014,0.284,0.496,0.704,0.747,0.47,0.401,3.63
Kapurthala,2006,0.242,0.52,0.781,0.705,0.376,0.426,3.67
Kapurthala,2007,0.293,0.616,0.755,0.676,0.368,0.351,4.33
Kapurthala,2008,0.287,0.541,0.718,0.68,0.367,0.381,3.67
Kapurthala,2009,0.25,0.495,0.765,0.769,0.502,0.311,4.67
Kapurthala,2010,0.25,0.427,0.776,0.742,0.523,0.357,5.5
