District,Year,november,december,january,february,Yield
Amritsar,2006,0.422,0.673,0.699,0.802,4.15
Amritsar,2007,0.353,0.559,0.752,0.76,4.4
Amritsar,2008,0.357,0.484,0.742,0.79,4.05
Amritsar,2009,0.336,0.421,0.648,0.744,4.07
Amritsar,2010,0.372,0.442,0.674,0.776,4.29
Amritsar,2011,0.336,0.49,0.657,0.758,4.97
Amritsar,2012,0.391,0.475,0.684,0.79,4.65
Amritsar,2013,0.372,0.572,0.687,0.792,4.97
Amritsar,2014,0.397,0.487,0.667,0.767,3.91
Barnala,2006,0.31,0.707,0.772,0.818,0
Barnala,2007,0.295,0.594,0.781,0.781,4.78
Barnala,2008,0.297,0.641,0.793,0.817,4.86
Barnala,2009,0.25,0.514,0.765,0.801,4.56
Barnala,2010,0.299,0.518,0.762,0.816,4.97
Barnala,2011,0.25,0.611,0.76,0.805,5.35
Barnala,2012,0.315,0.516,0.757,0.827,4.97
Barnala,2013,0.308,0.668,0.775,0.82,5.23
Barnala,2014,0.307,0.609,0.788,0.823,4.62
Bathinda,2006,0.374,0.485,0.615,0.776,4.26
Bathinda,2007,0.355,0.414,0.721,0.723,4.36
Bathinda,2008,0.347,0.462,0.725,0.784,4.63
Bathinda,2009,0.292,0.385,0.702,0.756,4.04
Bathinda,2010,0.371,0.383,0.63,0.771,4.61
Bathinda,2011,0.292,0.443,0.554,0.709,5
Bathinda,2012,0.374,0.415,0.606,0.794,4.79
Bathinda,2013,0.353,0.55,0.697,0.803,4.96
Bathinda,2014,0.319,0.508,0.695,0.785,4.8
Faridkot,2006,0.341,0.633,0.702,0.801,4.14
Faridkot,2007,0.311,0.577,0.772,0.774,4.35
Faridkot,2008,0.281,0.611,0.776,0.804,4.66
Faridkot,2009,0.255,0.473,0.758,0.785,4.11
Faridkot,2010,0.286,0.48,0.741,0.805,4.81
Faridkot,2011,0.255,0.56,0.709,0.785,5.26
Faridkot,2012,0.307,0.519,0.743,0.822,4.73
Faridkot,2013,0.331,0.69,0.757,0.81,5.18
Faridkot,2014,0.306,0.616,0.751,0.804,4.81
Fatehgarh Sahib,2006,0.368,0.71,0.735,0.804,4.09
Fatehgarh Sahib,2007,0.308,0.665,0.762,0.768,5.05
Fatehgarh Sahib,2008,0.311,0.599,0.795,0.792,4.42
Fatehgarh Sahib,2009,0.291,0.507,0.712,0.799,4.93
Fatehgarh Sahib,2010,0.342,0.577,0.727,0.798,4.91
Fatehgarh Sahib,2011,0.291,0.617,0.763,0.781,5.28
Fatehgarh Sahib,2012,0.323,0.559,0.749,0.818,5.18
Fatehgarh Sahib,2013,0.336,0.653,0.771,0.802,5.08
Fatehgarh Sahib,2014,0.376,0.645,0.785,0.808,4.05
Fazilka,2006,0.396,0.348,0.561,0.756,0
Fazilka,2007,0.398,0.418,0.697,0.702,4.35
Fazilka,2008,0.351,0.4,0.68,0.781,4.66
Fazilka,2009,0.315,0.321,0.67,0.739,4.11
Fazilka,2010,0.39,0.338,0.604,0.773,4.6
Fazilka,2011,0.314,0.42,0.496,0.677,4
Fazilka,2012,0.374,0.379,0.584,0.795,4.67
Fazilka,2013,0.374,0.506,0.633,0.794,4.92
Fazilka,2014,0.389,0.416,0.602,0.753,4.43
Firozepur,2006,0.327,0.7,0.775,0.814,4.08
Firozepur,2007,0.269,0.641,0.793,0.793,4.52
Firozepur,2008,0.271,0.642,0.793,0.822,4.68
Firozepur,2009,0.233,0.477,0.768,0.801,4.14
Firozepur,2010,0.287,0.506,0.757,0.811,4.66
Firozepur,2011,0.233,0.578,0.748,0.809,5
Firozepur,2012,0.293,0.525,0.768,0.83,4.92
Firozepur,2013,0.266,0.661,0.767,0.814,5.3
Firozepur,2014,0.301,0.593,0.755,0.818,4.66
Gurdaspur,2006,0.462,0.692,0.726,0.797,3.97
Gurdaspur,2007,0.396,0.606,0.748,0.751,4.23
Gurdaspur,2008,0.353,0.541,0.747,0.809,4.01
Gurdaspur,2009,0.314,0.443,0.631,0.772,4.09
Gurdaspur,2010,0.356,0.503,0.721,0.792,4.07
Gurdaspur,2011,0.314,0.547,0.706,0.761,4.75
Gurdaspur,2012,0.383,0.528,0.722,0.789,4.48
Gurdaspur,2013,0.373,0.626,0.72,0.802,4.47
Gurdaspur,2014,0.386,0.576,0.735,0.775,3.35
Hoshiarpur,2006,0.484,0.578,0.581,0.674,3.64
Hoshiarpur,2007,0.427,0.549,0.638,0.637,3.81
Hoshiarpur,2008,0.433,0.54,0.674,0.706,3.54
Hoshiarpur,2009,0.414,0.473,0.591,0.683,3.85
Hoshiarpur,2010,0.43,0.505,0.635,0.706,4.29
Hoshiarpur,2011,0.414,0.534,0.613,0.653,4.51
Hoshiarpur,2012,0.458,0.51,0.626,0.701,4.22
Hoshiarpur,2013,0.465,0.555,0.65,0.728,4.53
Hoshiarpur,2014,0.473,0.521,0.637,0.682,3.6
Jalandhar,2006,0.417,0.643,0.637,0.733,4.19
Jalandhar,2007,0.362,0.589,0.682,0.68,4.44
Jalandhar,2008,0.387,0.586,0.721,0.723,4.14
Jalandhar,2009,0.336,0.504,0.649,0.716,4.32
Jalandhar,2010,0.378,0.526,0.672,0.719,4.69
Jalandhar,2011,0.336,0.577,0.674,0.688,5.06
Jalandhar,2012,0.398,0.524,0.694,0.735,4.57
Jalandhar,2013,0.36,0.588,0.689,0.75,4.95
Jalandhar,2014,0.401,0.581,0.707,0.724,4.1
Kapurthala,2006,0.426,0.678,0.671,0.748,4.07
Kapurthala,2007,0.351,0.634,0.716,0.71,4.56
Kapurthala,2008,0.381,0.596,0.729,0.736,4.25
Kapurthala,2009,0.311,0.522,0.663,0.732,4.12
Kapurthala,2010,0.357,0.546,0.686,0.726,4.44
Kapurthala,2011,0.311,0.602,0.691,0.699,4.93
Kapurthala,2012,0.392,0.557,0.717,0.75,4.64
Kapurthala,2013,0.341,0.635,0.712,0.757,4.94
Kapurthala,2014,0.404,0.619,0.733,0.734,3.9
Ludhiana,2006,0.35,0.7,0.719,0.795,4.51
Ludhiana,2007,0.3,0.604,0.753,0.757,4.8
Ludhiana,2008,0.323,0.607,0.774,0.786,4.39
Ludhiana,2009,0.285,0.509,0.712,0.775,4.63
Ludhiana,2010,0.329,0.525,0.719,0.78,4.96
Ludhiana,2011,0.285,0.585,0.733,0.766,5.37
Ludhiana,2012,0.342,0.522,0.734,0.797,4.85
Ludhiana,2013,0.322,0.606,0.735,0.793,5.22
Ludhiana,2014,0.341,0.591,0.755,0.792,4.46
Mansa,2006,0.359,0.51,0.654,0.791,4.35
Mansa,2007,0.366,0.435,0.728,0.73,4.3
Mansa,2008,0.343,0.494,0.757,0.794,4.63
Mansa,2009,0.283,0.397,0.704,0.76,4.29
Mansa,2010,0.375,0.379,0.648,0.774,4.88
Mansa,2011,0.284,0.432,0.595,0.738,4.95
Mansa,2012,0.375,0.378,0.599,0.79,4.44
Mansa,2013,0.335,0.532,0.732,0.808,5.02
Mansa,2014,0.3,0.529,0.703,0.805,4.47
Moga,2006,0.325,0.736,0.781,0.823,4.14
Moga,2007,0.275,0.607,0.792,0.791,4.67
Moga,2008,0.287,0.662,0.782,0.819,7.46
Moga,2009,0.242,0.5,0.767,0.804,4.4
Moga,2010,0.29,0.528,0.759,0.815,5.01
Moga,2011,0.242,0.613,0.77,0.81,5.46
Moga,2012,0.311,0.548,0.768,0.83,4.95
Moga,2013,0.293,0.65,0.759,0.812,5.24
Moga,2014,0.3,0.622,0.779,0.819,4.54
Muktsar,2006,0.396,0.413,0.603,0.788,4.23
Muktsar,2007,0.371,0.447,0.748,0.755,4.77
Muktsar,2008,0.331,0.507,0.748,0.797,4.84
Muktsar,2009,0.296,0.418,0.724,0.777,4.63
