District,Year,june,july,august,september,october,november,Yield
Agra,2006,0.227,0.334,0.543,0.496,0.29,0.341,1.89
Agra,2007,0.253,0.377,0.528,0.469,0.301,0.256,1.98
Agra,2008,0.305,0.429,0.572,0.455,0.341,0.391,2.2
Agra,2009,0.212,0.25,0.488,0.584,0.411,0.384,1.76
Agra,2010,0.219,0.379,0.602,0.601,0.41,0.328,2.17
Agra,2011,0.229,0.25,0.488,0.584,0.411,0.383,2.5
Agra,2012,0.208,0.3,0.517,0.614,0.409,0.379,2.52
Agra,2013,0.244,0.431,0.613,0.558,0.446,0.391,2.59
Agra,2014,0.232,0.269,0.534,0.57,0.419,0.354,2.38
Agra,2015,0.255,0.324,0.594,0.519,0.361,0.275,2.4
Agra,2016,0.241,0.336,0.583,0.563,0.36,0.349,2.73
Agra,2017,0.258,0.333,0.585,0.601,0.378,0.353,2.5
Agra,2018,0.255,0.277,0.513,0.596,0.445,0.376,2.46
Agra,2019,0.263,0.325,0.555,0.685,0.544,0.417,2.58
Aligarh,2006,0.278,0.395,0.585,0.567,0.416,0.344,2.06
Aligarh,2007,0.321,0.421,0.559,0.574,0.439,0.327,2.01
Aligarh,2008,0.372,0.471,0.627,0.535,0.455,0.378,2.15
Aligarh,2009,0.257,0.309,0.508,0.633,0.493,0.369,1.73
Aligarh,2010,0.267,0.437,0.629,0.631,0.494,0.346,2.04
Aligarh,2011,0.311,0.309,0.508,0.633,0.493,0.369,2.2
Aligarh,2012,0.251,0.318,0.601,0.693,0.478,0.365,2.46
Aligarh,2013,0.319,0.437,0.629,0.629,0.525,0.377,2.24
Aligarh,2014,0.271,0.301,0.578,0.643,0.498,0.325,2.23
Aligarh,2015,0.298,0.408,0.652,0.609,0.496,0.326,2.35
Aligarh,2016,0.347,0.455,0.678,0.625,0.458,0.364,2.54
Aligarh,2017,0.376,0.436,0.626,0.68,0.48,0.368,2.67
Aligarh,2018,0.299,0.329,0.581,0.681,0.536,0.373,2.41
Aligarh,2019,0.344,0.38,0.551,0.735,0.564,0.388,2.61
Allahabad,2006,0.257,0.342,0.581,0.667,0.619,0.426,2.12
Allahabad,2007,0.255,0.326,0.569,0.67,0.65,0.457,2.15
Allahabad,2008,0.255,0.397,0.593,0.672,0.605,0.44,2.44
Allahabad,2009,0.261,0.338,0.522,0.627,0.561,0.434,2.17
Allahabad,2010,0.241,0.38,0.529,0.669,0.627,0.505,2.33
Allahabad,2011,0.248,0.338,0.522,0.627,0.561,0.434,2.56
Allahabad,2012,0.229,0.329,0.568,0.716,0.641,0.462,2.87
Allahabad,2013,0.321,0.404,0.625,0.703,0.637,0.512,2.64
Allahabad,2014,0.269,0.315,0.557,0.673,0.661,0.43,2.1
Allahabad,2015,0.28,0.424,0.613,0.667,0.596,0.373,1.83
Allahabad,2016,0.269,0.384,0.581,0.721,0.668,0.496,2.76
Allahabad,2017,0.281,0.373,0.666,0.73,0.648,0.45,2.74
Allahabad,2018,0.27,0.329,0.511,0.732,0.635,0.48,3.12
Allahabad,2019,0.262,0.358,0.488,0.729,0.732,0.522,3.12
Ambedhkarnagar,2006,0.388,0.398,0.632,0.714,0.688,0.427,1.8
Ambedhkarnagar,2007,0.413,0.401,0.603,0.73,0.69,0.453,2.55
Ambedhkarnagar,2008,0.316,0.411,0.6,0.697,0.639,0.418,2.7
Ambedhkarnagar,2009,0.332,0.383,0.643,0.798,0.662,0.443,2.59
Ambedhkarnagar,2010,0.28,0.431,0.581,0.749,0.7,0.509,2.64
Ambedhkarnagar,2011,0.327,0.383,0.643,0.798,0.662,0.443,2.69
Ambedhkarnagar,2012,0.283,0.405,0.621,0.762,0.682,0.461,2.76
Ambedhkarnagar,2013,0.38,0.464,0.627,0.76,0.707,0.46,2.73
