District,Year,june,july,august,september,october,Yield
Agra,2006,0.227,0.334,0.543,0.496,0.29,53.85
Agra,2007,0.253,0.377,0.528,0.469,0.301,52.53
Agra,2008,0.305,0.429,0.572,0.455,0.341,51.15
Agra,2009,0.212,0.25,0.488,0.584,0.411,43.2
Agra,2010,0.219,0.379,0.602,0.601,0.41,50.9
Agra,2011,0.229,0.25,0.488,0.584,0.411,47.48
Agra,2012,0.208,0.3,0.517,0.614,0.409,45.35
Agra,2013,0.244,0.431,0.613,0.558,0.446,47.99
Agra,2014,0.232,0.269,0.534,0.57,0.419,42.11
Agra,2015,0.255,0.324,0.594,0.519,0.361,46.71
Agra,2016,0.241,0.336,0.583,0.563,0.36,53.6
Agra,2017,0.258,0.333,0.585,0.601,0.378,56.68
Agra,2018,0.255,0.277,0.513,0.596,0.445,54.86
Aligarh,2006,0.278,0.395,0.585,0.567,0.416,59.7
Aligarh,2007,0.321,0.421,0.559,0.574,0.439,55.6
Aligarh,2008,0.372,0.471,0.627,0.535,0.455,57.21
Aligarh,2009,0.257,0.309,0.508,0.633,0.493,55.79
Aligarh,2010,0.267,0.437,0.629,0.631,0.494,59.09
Aligarh,2011,0.311,0.309,0.508,0.633,0.493,60.5
Aligarh,2012,0.251,0.318,0.601,0.693,0.478,61.57
Aligarh,2013,0.319,0.437,0.629,0.629,0.525,60.93
Aligarh,2014,0.271,0.301,0.578,0.643,0.498,59.88
Aligarh,2015,0.298,0.408,0.652,0.609,0.496,61.64
Aligarh,2016,0.347,0.455,0.678,0.625,0.458,67.22
Aligarh,2017,0.376,0.436,0.626,0.68,0.48,74.38
Aligarh,2018,0.299,0.329,0.581,0.681,0.536,79.43
Allahabad,2006,0.257,0.342,0.581,0.667,0.619,45.16
Allahabad,2007,0.255,0.326,0.569,0.67,0.65,44.6
Allahabad,2008,0.255,0.397,0.593,0.672,0.605,55.28
Allahabad,2009,0.261,0.338,0.522,0.627,0.561,43.55
Allahabad,2010,0.241,0.38,0.529,0.669,0.627,58.34
Allahabad,2011,0.248,0.338,0.522,0.627,0.561,55.88
Allahabad,2012,0.229,0.329,0.568,0.716,0.641,61.14
Allahabad,2013,0.321,0.404,0.625,0.703,0.637,68.23
Allahabad,2014,0.269,0.315,0.557,0.673,0.661,65.78
Allahabad,2015,0.28,0.424,0.613,0.667,0.596,67.03
Allahabad,2016,0.269,0.384,0.581,0.721,0.668,72.67
Allahabad,2017,0.281,0.373,0.666,0.73,0.648,36.73
Allahabad,2018,0.27,0.329,0.511,0.732,0.635,38.4
Ambedhkarnagar,2006,0.388,0.398,0.632,0.714,0.688,41.6
Ambedhkarnagar,2007,0.413,0.401,0.603,0.73,0.69,53.22
Ambedhkarnagar,2008,0.316,0.411,0.6,0.697,0.639,46.91
Ambedhkarnagar,2009,0.332,0.383,0.643,0.798,0.662,52.91
Ambedhkarnagar,2010,0.28,0.431,0.581,0.749,0.7,51.38
Ambedhkarnagar,2011,0.327,0.383,0.643,0.798,0.662,58.4
Ambedhkarnagar,2012,0.283,0.405,0.621,0.762,0.682,62.29
Ambedhkarnagar,2013,0.38,0.464,0.627,0.76,0.707,61.83
Ambedhkarnagar,2014,0.35,0.398,0.655,0.742,0.68,62.45
Ambedhkarnagar,2015,0.328,0.495,0.608,0.702,0.645,61.34
Ambedhkarnagar,2016,0.33,0.387,0.708,0.78,0.682,68.63
Ambedhkarnagar,2017,0.392,0.438,0.731,0.79,0.68,74.26
Ambedhkarnagar,2018,0.334,0.417,0.616,0.797,0.652,76.68
Amethi,2006,0.338,0.352,0.613,0.665,0.609,65.73
Amethi,2007,0.343,0.348,0.633,0.689,0.642,65.73
Amethi,2008,0.304,0.436,0.599,0.687,0.593,65.73
Amethi,2009,0.273,0.33,0.596,0.717,0.63,65.73
Amethi,2010,0.298,0.428,0.556,0.702,0.615,65.73
Amethi,2011,0.282,0.33,0.596,0.717,0.63,58.4
Amethi,2012,0.253,0.312,0.624,0.738,0.618,62.29
Amethi,2013,0.366,0.418,0.609,0.736,0.689,61.83
Amethi,2014,0.29,0.364,0.632,0.692,0.653,62.45
Amethi,2015,0.296,0.444,0.671,0.666,0.612,61.34
Amethi,2016,0.337,0.371,0.665,0.747,0.657,68.63
Amethi,2017,0.319,0.417,0.71,0.785,0.678,74.26
Amethi,2018,0.318,0.406,0.623,0.786,0.646,76.68
Auraiya,2006,0.234,0.391,0.514,0.587,0.506,56.77
Auraiya,2007,0.235,0.29,0.404,0.581,0.472,50.64
Auraiya,2008,0.244,0.325,0.493,0.553,0.521,44.72
Auraiya,2009,0.193,0.275,0.463,0.62,0.533,51.36
Auraiya,2010,0.205,0.321,0.466,0.658,0.551,53.45
Auraiya,2011,0.239,0.275,0.463,0.62,0.533,57.97
Auraiya,2012,0.207,0.3,0.517,0.653,0.568,60.7
Auraiya,2013,0.275,0.443,0.557,0.645,0.584,59.59
