District,Year,october,november,december,january,february,Yield
Agra,2006,0.29,0.341,0.608,0.663,0.687,2.77
Agra,2007,0.301,0.256,0.524,0.636,0.621,3.15
Agra,2008,0.341,0.391,0.637,0.692,0.643,3.29
Agra,2009,0.411,0.384,0.619,0.712,0.693,3.18
Agra,2010,0.41,0.328,0.517,0.658,0.725,3.7
Agra,2011,0.411,0.383,0.582,0.69,0.658,3.9
Agra,2012,0.409,0.379,0.552,0.665,0.704,3.83
Agra,2013,0.446,0.391,0.667,0.749,0.73,3.71
Agra,2014,0.419,0.354,0.568,0.732,0.722,2.41
Agra,2015,0.361,0.275,0.562,0.674,0.688,3.23
Agra,2016,0.36,0.349,0.606,0.705,0.722,4.08
Agra,2017,0.378,0.353,0.62,0.711,0.691,4.04
Agra,2018,0.445,0.376,0.607,0.728,0.702,4.37
Aligarh,2006,0.416,0.344,0.531,0.625,0.721,2.86
Aligarh,2007,0.439,0.327,0.426,0.634,0.63,3.22
Aligarh,2008,0.455,0.378,0.49,0.645,0.673,3.39
Aligarh,2009,0.493,0.369,0.484,0.664,0.704,3.19
Aligarh,2010,0.494,0.346,0.41,0.569,0.725,3.55
Aligarh,2011,0.493,0.369,0.467,0.643,0.622,3.77
Aligarh,2012,0.478,0.365,0.467,0.622,0.711,3.47
Aligarh,2013,0.525,0.377,0.536,0.712,0.741,3.6
Aligarh,2014,0.498,0.325,0.477,0.731,0.732,2.45
Aligarh,2015,0.496,0.326,0.501,0.631,0.701,3.28
Aligarh,2016,0.458,0.364,0.509,0.707,0.734,3.98
Aligarh,2017,0.48,0.368,0.589,0.717,0.737,4.3
Aligarh,2018,0.536,0.373,0.555,0.714,0.728,4.27
Allahabad,2006,0.619,0.426,0.483,0.547,0.617,2.34
Allahabad,2007,0.65,0.457,0.382,0.559,0.587,2.23
Allahabad,2008,0.605,0.44,0.453,0.621,0.602,2.49
Allahabad,2009,0.561,0.434,0.49,0.633,0.636,2.14
Allahabad,2010,0.627,0.505,0.403,0.527,0.615,2.47
Allahabad,2011,0.561,0.434,0.409,0.604,0.654,2.64
Allahabad,2012,0.641,0.462,0.392,0.573,0.689,2.49
Allahabad,2013,0.637,0.512,0.397,0.58,0.681,2.44
Allahabad,2014,0.661,0.43,0.429,0.66,0.668,1.36
Allahabad,2015,0.596,0.373,0.37,0.543,0.609,1.91
Allahabad,2016,0.668,0.496,0.392,0.635,0.677,3
Allahabad,2017,0.648,0.45,0.42,0.592,0.636,3.76
Allahabad,2018,0.635,0.48,0.402,0.62,0.678,3.55
Ambedhkarnagar,2006,0.688,0.427,0.505,0.564,0.687,2.96
Ambedhkarnagar,2007,0.69,0.453,0.432,0.635,0.653,3.24
Ambedhkarnagar,2008,0.639,0.418,0.43,0.665,0.68,3.31
Ambedhkarnagar,2009,0.662,0.443,0.441,0.635,0.705,3.13
Ambedhkarnagar,2010,0.7,0.509,0.399,0.575,0.716,3.35
Ambedhkarnagar,2011,0.662,0.443,0.435,0.64,0.696,3.36
Ambedhkarnagar,2012,0.682,0.461,0.412,0.588,0.727,3.34
Ambedhkarnagar,2013,0.707,0.46,0.468,0.561,0.717,3.44
Ambedhkarnagar,2014,0.68,0.434,0.48,0.676,0.704,2.3
Ambedhkarnagar,2015,0.645,0.436,0.418,0.611,0.692,3.18
Ambedhkarnagar,2016,0.682,0.47,0.44,0.683,0.721,3.55
Ambedhkarnagar,2017,0.68,0.47,0.5,0.622,0.707,4.11
Ambedhkarnagar,2018,0.652,0.476,0.426,0.657,0.722,4.1
Amethi,2006,0.609,0.439,0.477,0.556,0.629,2.86
Amethi,2007,0.642,0.424,0.418,0.559,0.584,2.86
Amethi,2008,0.593,0.438,0.462,0.607,0.608,2.86
Amethi,2009,0.63,0.478,0.443,0.609,0.655,2.86
Amethi,2010,0.615,0.488,0.426,0.548,0.663,2.79
Amethi,2011,0.63,0.478,0.423,0.599,0.66,2.87
Amethi,2012,0.618,0.444,0.411,0.557,0.698,3.06
Amethi,2013,0.689,0.447,0.462,0.57,0.674,2.38
Amethi,2014,0.653,0.423,0.496,0.682,0.679,1.82
Amethi,2015,0.612,0.383,0.422,0.573,0.633,2.38
Amethi,2016,0.657,0.469,0.436,0.641,0.704,3.06
Amethi,2017,0.678,0.441,0.484,0.635,0.68,3.88
