district level ndvi values for Bihar during June-Feb derived from modis data,,,,,,,,,,,,,,,,
state_name,month,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Bihar,June,ARARIYA,0.599,0.553,0.58,0.574,0.6,0.636,0.483,0.658,0.536,0.606,0.607,0.613,0.601,0.603
Bihar,June,ARWAL,0.347,0.302,0.321,0.312,0.232,0.318,0.229,0.319,0.287,0.296,0.246,0.27,0.252,0.246
Bihar,June,AURANGABAD,0.338,0.307,0.337,0.255,0.212,0.279,0.21,0.252,0.245,0.274,0.228,0.251,0.248,0.228
Bihar,June,BANKA,0.412,0.428,0.348,0.383,0.28,0.457,0.247,0.482,0.423,0.376,0.348,0.515,0.415,0.33
Bihar,June,BEGUSARAI,0.293,0.312,0.295,0.318,0.301,0.334,0.268,0.394,0.335,0.276,0.293,0.351,0.319,0.296
Bihar,June,BHABUA,0.284,0.275,0.23,0.2,0.198,0.232,0.193,0.233,0.218,0.228,0.217,0.217,0.233,0.214
Bihar,June,BHAGALPUR,0.409,0.466,0.36,0.4,0.314,0.437,0.259,0.459,0.367,0.357,0.353,0.477,0.437,0.368
Bihar,June,BHOJPUR,0.35,0.287,0.3,0.297,0.213,0.307,0.208,0.319,0.282,0.272,0.253,0.28,0.243,0.24
Bihar,June,BUXAR,0.318,0.26,0.264,0.226,0.193,0.292,0.201,0.263,0.26,0.239,0.234,0.254,0.243,0.244
Bihar,June,DRABHANGA,0.381,0.378,0.39,0.439,0.383,0.471,0.335,0.471,0.379,0.353,0.445,0.509,0.379,0.38
Bihar,June,GAYA,0.322,0.299,0.32,0.329,0.229,0.299,0.231,0.38,0.361,0.308,0.285,0.323,0.288,0.269
Bihar,June,GOPALGANJ,0.344,0.318,0.31,0.345,0.276,0.311,0.246,0.357,0.334,0.347,0.34,0.365,0.336,0.283
Bihar,June,JAHANABAD,0.317,0.321,0.345,0.391,0.236,0.28,0.236,0.381,0.328,0.301,0.29,0.318,0.285,0.281
Bihar,June,JAMUI,0.388,0.392,0.343,0.399,0.301,0.423,0.249,0.468,0.399,0.319,0.294,0.433,0.391,0.267
Bihar,June,KATIHAR,0.548,0.537,0.492,0.517,0.488,0.564,0.407,0.573,0.463,0.526,0.542,0.62,0.562,0.554
Bihar,June,KHAGARIA,0.332,0.37,0.316,0.383,0.338,0.401,0.314,0.454,0.362,0.313,0.304,0.424,0.364,0.323
Bihar,June,KISHANGANJ,0.609,0.571,0.576,0.562,0.605,0.62,0.555,0.651,0.575,0.623,0.673,0.653,0.606,0.63
Bihar,June,LAKHISARAI,0.314,0.313,0.281,0.326,0.252,0.36,0.22,0.401,0.354,0.259,0.256,0.348,0.307,0.25
Bihar,June,MADHEPURA,0.536,0.523,0.527,0.582,0.579,0.64,0.466,0.647,0.541,0.562,0.554,0.66,0.581,0.57
Bihar,June,MADUBANI,0.384,0.397,0.448,0.438,0.373,0.5,0.35,0.481,0.41,0.403,0.468,0.519,0.417,0.445
Bihar,June,MUNGER,0.363,0.374,0.318,0.361,0.258,0.374,0.225,0.426,0.377,0.29,0.326,0.464,0.377,0.269
Bihar,June,MUZAFFARPUR,0.385,0.376,0.39,0.439,0.347,0.443,0.322,0.462,0.404,0.386,0.42,0.48,0.406,0.335
Bihar,June,NALANDA,0.311,0.339,0.316,0.397,0.266,0.335,0.244,0.409,0.387,0.299,0.336,0.383,0.322,0.319
Bihar,June,NAWADA,0.327,0.351,0.336,0.445,0.297,0.383,0.252,0.448,0.407,0.313,0.311,0.367,0.337,0.281
Bihar,June,PACHIM CHAMPARAN,0.402,0.397,0.395,0.394,0.384,0.425,0.317,0.47,0.371,0.4,0.443,0.499,0.449,0.426
Bihar,June,PATNA,0.323,0.323,0.328,0.337,0.254,0.334,0.233,0.376,0.316,0.276,0.313,0.368,0.288,0.267
Bihar,June,PURBA CHAMPARAN,0.356,0.33,0.354,0.362,0.314,0.362,0.277,0.427,0.377,0.356,0.396,0.429,0.368,0.332
Bihar,June,PURNIA,0.562,0.539,0.538,0.562,0.559,0.624,0.462,0.624,0.497,0.548,0.562,0.612,0.562,0.561
Bihar,June,ROHTAS,0.305,0.27,0.277,0.236,0.209,0.262,0.205,0.264,0.27,0.265,0.238,0.258,0.267,0.259
Bihar,June,SAHARSA,0.477,0.474,0.494,0.56,0.509,0.552,0.389,0.609,0.49,0.497,0.518,0.636,0.49,0.525
Bihar,June,SAMASTIPUR,0.35,0.351,0.383,0.428,0.374,0.436,0.307,0.444,0.378,0.346,0.366,0.477,0.389,0.339
Bihar,June,SARAN,0.332,0.338,0.333,0.373,0.264,0.366,0.249,0.387,0.347,0.302,0.346,0.372,0.315,0.252
Bihar,June,SHEIKHPURA,0.32,0.36,0.319,0.391,0.274,0.405,0.23,0.423,0.353,0.271,0.292,0.408,0.314,0.268
Bihar,June,SHEOHAR,0.373,0.373,0.416,0.401,0.331,0.412,0.304,0.462,0.412,0.43,0.383,0.496,0.401,0.361
Bihar,June,SITAMARHI,0.383,0.379,0.41,0.415,0.366,0.495,0.328,0.455,0.41,0.404,0.41,0.504,0.427,0.398
Bihar,June,SIWAN,0.314,0.322,0.297,0.342,0.239,0.321,0.239,0.34,0.332,0.323,0.33,0.356,0.313,0.255
Bihar,June,SUPAUL,0.574,0.607,0.605,0.586,0.608,0.65,0.486,0.665,0.586,0.646,0.669,0.701,0.653,0.658
Bihar,June,VAISHALI,0.35,0.354,0.404,0.436,0.32,0.377,0.284,0.455,0.4,0.339,0.384,0.473,0.361,0.299
Bihar,July,ARARIYA,0.566,0.577,0.489,0.561,0.524,0.561,0.51,0.494,0.506,0.559,0.553,0.5,0.532,0.581
Bihar,July,ARWAL,0.397,0.367,0.313,0.328,0.345,0.328,0.347,0.402,0.415,0.4,0.369,0.35,0.333,0.368
Bihar,July,AURANGABAD,0.421,0.37,0.348,0.354,0.385,0.354,0.303,0.375,0.41,0.387,0.385,0.356,0.348,0.378
Bihar,July,BANKA,0.471,0.491,0.427,0.499,0.492,0.499,0.412,0.542,0.481,0.539,0.528,0.533,0.537,0.476
Bihar,July,BEGUSARAI,0.526,0.396,0.402,0.433,0.441,0.433,0.314,0.534,0.506,0.419,0.408,0.443,0.38,0.388
Bihar,July,BHABUA,0.375,0.34,0.265,0.297,0.319,0.298,0.294,0.351,0.331,0.317,0.305,0.285,0.293,0.323
