district level ndvi values for Haryana during june-feb derived from modis data,,,,,,,,,,,,,,,,
state_name,Month,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Haryana,june,AMBALA,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282
Haryana,june,BHIWANI,0.177,0.197,0.291,0.172,0.17,0.215,0.162,0.202,0.211,0.198,0.208,0.241,0.183,0.223
Haryana,june,CHARKHI DADRI,0.2,0.193,0.298,0.185,0.191,0.237,0.184,0.224,0.228,0.213,0.269,0.257,0.2,0.235
Haryana,june,FARIDABAD,0.264,0.349,0.348,0.24,0.236,0.276,0.23,0.298,0.271,0.27,0.314,0.33,0.267,0.293
Haryana,june,FATEHABAD,0.208,0.236,0.248,0.201,0.203,0.197,0.172,0.214,0.181,0.211,0.206,0.231,0.202,0.216
Haryana,june,GURGAON,0.214,0.243,0.33,0.208,0.207,0.219,0.195,0.244,0.226,0.23,0.25,0.247,0.228,0.251
Haryana,june,HISAR,0.193,0.245,0.265,0.186,0.19,0.215,0.167,0.226,0.203,0.222,0.216,0.249,0.198,0.252
Haryana,june,JHAJJAR,0.198,0.236,0.276,0.179,0.184,0.203,0.175,0.22,0.193,0.212,0.221,0.273,0.195,0.217
Haryana,june,JIND,0.208,0.278,0.235,0.193,0.215,0.222,0.183,0.248,0.207,0.228,0.229,0.245,0.219,0.241
Haryana,june,KAITHAL,0.21,0.257,0.229,0.206,0.241,0.235,0.19,0.226,0.195,0.214,0.209,0.232,0.215,0.221
Haryana,june,KARNAL,0.248,0.3,0.28,0.221,0.235,0.283,0.209,0.238,0.221,0.231,0.249,0.264,0.258,0.251
Haryana,june,KURUKSHETRA,0.269,0.307,0.291,0.247,0.285,0.297,0.236,0.268,0.254,0.254,0.266,0.302,0.272,0.275
Haryana,june,MAHENDRAGARH,0.191,0.195,0.336,0.192,0.193,0.227,0.191,0.221,0.223,0.211,0.244,0.274,0.204,0.24
Haryana,june,MEWAT,0.197,0.21,0.37,0.182,0.188,0.221,0.175,0.219,0.197,0.216,0.228,0.238,0.216,0.227
Haryana,june,PALWAL,0.269,0.326,0.39,0.224,0.249,0.298,0.22,0.282,0.258,0.278,0.289,0.324,0.284,0.293
Haryana,june,PANCHKULA,0.323,0.348,0.375,0.252,0.286,0.365,0.246,0.37,0.289,0.291,0.286,0.334,0.312,0.282
Haryana,june,PANIPAT,0.248,0.335,0.278,0.224,0.249,0.278,0.218,0.257,0.249,0.262,0.282,0.297,0.239,0.261
Haryana,june,REWARI,0.181,0.187,0.298,0.187,0.184,0.223,0.178,0.216,0.214,0.207,0.235,0.242,0.195,0.223
Haryana,june,ROHTAK,0.218,0.278,0.277,0.187,0.197,0.223,0.187,0.246,0.203,0.215,0.236,0.316,0.215,0.239
Haryana,june,SIRSA,0.206,0.204,0.172,0.18,0.18,0.193,0.163,0.205,0.175,0.204,0.194,0.223,0.195,0.225
Haryana,june,SONIPAT,0.253,0.313,0.295,0.214,0.224,0.241,0.204,0.268,0.227,0.241,0.24,0.314,0.226,0.256
Haryana,june,YAMUNANAGAR,0.368,0.424,0.411,0.3,0.317,0.427,0.324,0.416,0.354,0.345,0.364,0.41,0.376,0.343
Haryana,July,AMBALA,0.421,0.468,0.477,0.427,0.445,0.426,0.388,0.547,0.466,0.527,0.595,0.54,0.564,0.526
Haryana,July,BHIWANI,0.28,0.363,0.409,0.236,0.332,0.235,0.206,0.259,0.293,0.306,0.391,0.457,0.318,0.424
Haryana,July,CHARKHI DADRI,0.335,0.357,0.439,0.27,0.361,0.269,0.233,0.322,0.336,0.339,0.45,0.452,0.36,0.458
Haryana,July,FARIDABAD,0.411,0.472,0.44,0.351,0.417,0.352,0.343,0.373,0.35,0.403,0.413,0.457,0.374,0.342
Haryana,July,FATEHABAD,0.431,0.437,0.472,0.415,0.335,0.415,0.332,0.358,0.335,0.465,0.514,0.539,0.476,0.519
Haryana,July,GURGAON,0.322,0.457,0.516,0.339,0.458,0.338,0.302,0.393,0.328,0.356,0.472,0.443,0.392,0.357
Haryana,July,HISAR,0.324,0.39,0.393,0.3,0.324,0.3,0.252,0.317,0.31,0.413,0.439,0.425,0.389,0.447
Haryana,July,JHAJJAR,0.324,0.42,0.489,0.281,0.429,0.281,0.249,0.412,0.29,0.356,0.428,0.427,0.38,0.336
