district level ndvi values for Maharashtra during june-feb derived from modis data,,,,,,,,,,,,,,,,
state_name,Month,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Maharashtra,June,AHMADNAGAR,0.317,0.35,0.261,0.281,0.314,0.317,0.268,0.253,0.304,0.317,0.239,0.377,0.338,0.249
Maharashtra,June,AKOLA,0.234,0.237,0.202,0.192,0.245,0.231,0.238,0.224,0.226,0.239,0.205,0.253,0.226,0.215
Maharashtra,June,AMARAVATI,0.25,0.25,0.227,0.209,0.253,0.248,0.258,0.244,0.246,0.281,0.235,0.283,0.28,0.237
Maharashtra,June,AURANGABAD1,0.262,0.28,0.222,0.224,0.247,0.276,0.249,0.244,0.256,0.27,0.225,0.297,0.254,0.223
Maharashtra,June,BHANDARA,0.358,0.281,0.272,0.251,0.35,0.309,0.339,0.343,0.309,0.413,0.278,0.327,0.381,0.294
Maharashtra,June,BID,0.315,0.297,0.224,0.239,0.279,0.292,0.24,0.226,0.265,0.264,0.221,0.334,0.32,0.214
Maharashtra,June,BULDHANA,0.237,0.239,0.202,0.194,0.214,0.238,0.225,0.2,0.235,0.253,0.199,0.267,0.213,0.208
Maharashtra,June,CHANDRAPUR,0.3,0.252,0.239,0.229,0.306,0.269,0.248,0.302,0.271,0.327,0.243,0.301,0.335,0.236
Maharashtra,June,DHULE,0.229,0.255,0.223,0.218,0.229,0.251,0.232,0.266,0.25,0.278,0.229,0.291,0.242,0.237
Maharashtra,June,GADCHIROLI,0.396,0.321,0.319,0.28,0.372,0.338,0.291,0.377,0.335,0.428,0.29,0.35,0.394,0.281
Maharashtra,June,GONDIYA,0.379,0.305,0.302,0.276,0.387,0.34,0.323,0.365,0.34,0.428,0.308,0.362,0.39,0.315
Maharashtra,June,HINGOLI,0.274,0.283,0.231,0.218,0.246,0.283,0.242,0.24,0.276,0.296,0.208,0.326,0.306,0.224
Maharashtra,June,JALGAON,0.257,0.286,0.246,0.242,0.249,0.282,0.266,0.258,0.275,0.296,0.245,0.307,0.267,0.25
Maharashtra,June,JALNA,0.267,0.254,0.205,0.208,0.223,0.248,0.224,0.207,0.238,0.235,0.202,0.286,0.263,0.212
Maharashtra,June,KOLHAPUR,0.571,0.484,0.468,0.478,0.494,0.51,0.485,0.491,0.554,0.574,0.496,0.557,0.555,0.535
Maharashtra,June,LATUR,0.328,0.283,0.224,0.248,0.243,0.288,0.23,0.28,0.291,0.255,0.22,0.329,0.306,0.22
Maharashtra,June,MUMBAI CITY,0.505,0.388,0.477,0.372,0.406,0.453,0.297,0.389,0.475,0.464,0.498,null,0.328,0.516
Maharashtra,June,NAGPUR,0.304,0.259,0.235,0.219,0.298,0.275,0.259,0.294,0.281,0.327,0.249,0.287,0.345,0.242
Maharashtra,June,NANDED,0.309,0.307,0.242,0.232,0.251,0.303,0.247,0.291,0.288,0.315,0.233,0.361,0.327,0.249
Maharashtra,June,NANDURBAR,0.293,0.29,0.249,0.245,0.26,0.3,0.27,0.304,0.306,0.314,0.279,0.355,0.292,0.289
Maharashtra,June,NASIK,0.288,0.332,0.257,0.27,0.301,0.291,0.269,0.296,0.299,0.31,0.255,0.346,0.298,0.268
Maharashtra,June,OSMANABAD,0.356,0.295,0.23,0.252,0.281,0.298,0.231,0.235,0.269,0.263,0.222,0.318,0.327,0.225
Maharashtra,June,PALGHAR,0.516,0.363,0.321,0.313,0.382,0.383,0.355,0.341,0.364,0.344,0.339,0.498,0.374,0.357
Maharashtra,June,PARBHANI,0.29,0.284,0.231,0.239,0.252,0.285,0.242,0.241,0.277,0.28,0.218,0.324,0.329,0.241
Maharashtra,June,PUNE,0.395,0.366,0.296,0.327,0.364,0.357,0.319,0.33,0.384,0.414,0.327,0.425,0.392,0.335
