district level ndvi values for Punjab during june month derived from modis data,,,,,,,,,,,,,,,,
state_name,Months,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Punjab,June,AMRITSAR,0.263,0.302,0.276,0.24,0.24,0.262,0.23,0.276,0.233,0.264,0.271,0.281,0.26,0.266
Punjab,June,BARNALA,0.208,0.257,0.238,0.217,0.225,0.228,0.188,0.226,0.192,0.231,0.214,0.247,0.23,0.226
Punjab,June,BATHINDA,0.231,0.242,0.214,0.22,0.217,0.202,0.185,0.241,0.192,0.232,0.214,0.243,0.217,0.223
Punjab,June,FARIDKOT,0.234,0.288,0.221,0.216,0.207,0.212,0.187,0.21,0.186,0.221,0.196,0.232,0.189,0.214
Punjab,June,FATEHGARH SAHIB,0.221,0.277,0.275,0.251,0.272,0.283,0.234,0.258,0.246,0.272,0.262,0.294,0.281,0.274
Punjab,June,FAZILKA,0.253,0.267,0.211,0.211,0.216,0.243,0.202,0.247,0.217,0.247,0.236,0.266,0.237,0.242
Punjab,June,FIROZPUR,0.222,0.308,0.202,0.207,0.206,0.221,0.19,0.204,0.189,0.214,0.203,0.241,0.199,0.219
Punjab,June,GURDASPUR,0.242,0.327,0.293,0.237,0.244,0.282,0.252,0.31,0.259,0.295,0.308,0.291,0.287,0.281
Punjab,June,HOSHIARPUR,0.325,0.347,0.39,0.303,0.313,0.381,0.324,0.408,0.335,0.374,0.367,0.398,0.372,0.367
Punjab,June,JALANDHAR,0.266,0.325,0.329,0.267,0.27,0.307,0.284,0.332,0.284,0.331,0.312,0.368,0.319,0.341
Punjab,June,KAPURTHALA,0.242,0.293,0.287,0.25,0.25,0.292,0.27,0.303,0.265,0.309,0.296,0.346,0.299,0.335
Punjab,June,LUDHIANA,0.219,0.287,0.274,0.24,0.253,0.272,0.221,0.264,0.233,0.28,0.251,0.299,0.271,0.286
Punjab,June,MANSA,0.228,0.237,0.265,0.217,0.224,0.204,0.18,0.232,0.191,0.235,0.2,0.232,0.218,0.209
Punjab,June,MOGA,0.213,0.264,0.216,0.218,0.23,0.233,0.196,0.22,0.197,0.227,0.209,0.248,0.217,0.23
Punjab,June,MUKTSAR,0.264,0.264,0.209,0.235,0.214,0.218,0.185,0.225,0.189,0.218,0.203,0.222,0.201,0.225
Punjab,June,NAWASHAHR,0.268,0.314,0.344,0.274,0.301,0.331,0.284,0.35,0.295,0.325,0.291,0.342,0.304,0.287
Punjab,June,PATHANKOT,0.251,0.299,0.336,0.233,0.235,0.3,0.254,0.338,0.289,0.302,0.315,0.294,0.301,0.294
Punjab,June,PATIALA,0.219,0.262,0.258,0.23,0.238,0.262,0.204,0.24,0.219,0.242,0.236,0.256,0.248,0.244
Punjab,June,RUPNAGAR,0.31,0.333,0.371,0.274,0.335,0.349,0.281,0.374,0.314,0.323,0.325,0.349,0.333,0.302
Punjab,June,SANGRUR,0.215,0.262,0.24,0.226,0.229,0.234,0.19,0.229,0.202,0.234,0.22,0.244,0.233,0.228
Punjab,June,SAS NAGAR,0.279,0.298,0.347,0.259,0.284,0.312,0.241,0.328,0.27,0.268,0.272,0.309,0.313,0.274
Punjab,June,TARN TARAN,0.252,0.303,0.242,0.232,0.227,0.25,0.213,0.245,0.205,0.247,0.231,0.255,0.232,0.233
Punjab,July,AMRITSAR,0.526,0.601,0.496,0.404,0.376,0.404,0.412,0.479,0.428,0.453,0.508,0.516,0.446,0.561
Punjab,July,BARNALA,0.556,0.546,0.522,0.538,0.392,0.538,0.457,0.508,0.532,0.668,0.558,0.605,0.546,0.527
Punjab,July,BATHINDA,0.448,0.461,0.471,0.466,0.388,0.466,0.422,0.411,0.4,0.549,0.522,0.572,0.449,0.524
Punjab,July,FARIDKOT,0.529,0.565,0.538,0.538,0.414,0.538,0.486,0.534,0.422,0.554,0.534,0.556,0.513,0.635
Punjab,July,FATEHGARH SAHIB,0.464,0.597,0.52,0.515,0.451,0.516,0.469,0.659,0.487,0.52,0.509,0.525,0.498,0.606
Punjab,July,FAZILKA,0.488,0.471,0.419,0.339,0.362,0.339,0.392,0.451,0.384,0.429,0.409,0.518,0.426,0.527
Punjab,July,FIROZPUR,0.604,0.649,0.572,0.49,0.43,0.49,0.493,0.541,0.404,0.533,0.542,0.559,0.478,0.649
Punjab,July,GURDASPUR,0.536,0.597,0.485,0.44,0.431,0.44,0.473,0.594,0.456,0.546,0.555,0.572,0.506,0.62
Punjab,July,HOSHIARPUR,0.506,0.598,0.56,0.491,0.521,0.491,0.509,0.66,0.519,0.633,0.615,0.644,0.625,0.604
Punjab,July,JALANDHAR,0.495,0.585,0.519,0.481,0.441,0.481,0.448,0.583,0.496,0.573,0.52,0.565,0.5,0.581
Punjab,July,KAPURTHALA,0.52,0.616,0.541,0.495,0.427,0.495,0.455,0.577,0.493,0.535,0.534,0.575,0.494,0.601
Punjab,July,LUDHIANA,0.507,0.597,0.509,0.53,0.393,0.53,0.456,0.617,0.518,0.583,0.511,0.537,0.503,0.563
Punjab,July,MANSA,0.412,0.422,0.434,0.416,0.351,0.416,0.391,0.391,0.382,0.487,0.496,0.539,0.511,0.536
Punjab,July,MOGA,0.579,0.578,0.575,0.536,0.413,0.536,0.48,0.524,0.452,0.62,0.568,0.495,0.456,0.628
Punjab,July,MUKTSAR,0.507,0.516,0.5,0.42,0.421,0.42,0.415,0.508,0.388,0.491,0.477,0.57,0.481,0.535
Punjab,July,NAWASHAHR,0.447,0.552,0.494,0.508,0.459,0.507,0.485,0.625,0.531,0.599,0.552,0.599,0.612,0.588
Punjab,July,PATHANKOT,0.464,0.553,0.537,0.37,0.455,0.37,0.456,0.627,0.512,0.554,0.573,0.591,0.52,0.578
Punjab,July,PATIALA,0.421,0.503,0.452,0.501,0.366,0.501,0.368,0.505,0.417,0.493,0.495,0.484,0.539,0.527
