state_name,Month,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20
Uttar Pradesh,June,AGRA,0.227,0.253,0.305,0.212,0.219,0.229,0.208,0.244,0.232,0.255,0.241,0.258,0.255,0.263
Uttar Pradesh,June,ALIGARH,0.278,0.321,0.372,0.257,0.267,0.311,0.251,0.319,0.271,0.298,0.347,0.376,0.299,0.344
Uttar Pradesh,June,ALLAHABAD,0.257,0.255,0.255,0.261,0.241,0.248,0.229,0.321,0.269,0.28,0.269,0.281,0.27,0.262
Uttar Pradesh,June,AMBEDKARNAGAR,0.388,0.413,0.316,0.332,0.28,0.327,0.283,0.38,0.35,0.328,0.33,0.392,0.334,0.306
Uttar Pradesh,June,AMETHI,0.338,0.343,0.304,0.273,0.298,0.282,0.253,0.366,0.29,0.296,0.337,0.319,0.318,0.299
Uttar Pradesh,June,AURAIYA,0.234,0.235,0.244,0.193,0.205,0.239,0.207,0.275,0.244,0.238,0.258,0.302,0.247,0.272
Uttar Pradesh,June,AZAMGARH,0.33,0.299,0.261,0.273,0.232,0.292,0.229,0.295,0.275,0.291,0.291,0.313,0.296,0.253
Uttar Pradesh,June,BADAUN,0.403,0.379,0.397,0.272,0.257,0.345,0.308,0.444,0.311,0.294,0.349,0.343,0.318,0.394
Uttar Pradesh,June,BAGHPAT,0.419,0.439,0.439,0.372,0.396,0.467,0.367,0.489,0.423,0.389,0.453,0.476,0.464,0.515
Uttar Pradesh,June,BAHRAICH,0.303,0.34,0.337,0.301,0.284,0.386,0.278,0.453,0.307,0.302,0.356,0.393,0.347,0.364
Uttar Pradesh,June,BALLIA,0.308,0.287,0.252,0.276,0.221,0.317,0.214,0.297,0.282,0.278,0.306,0.299,0.263,0.242
Uttar Pradesh,June,BALRAMPUR,0.374,0.396,0.406,0.36,0.282,0.428,0.281,0.401,0.319,0.365,0.378,0.389,0.382,0.369
Uttar Pradesh,June,BANDA,0.206,0.212,0.238,0.201,0.2,0.2,0.19,0.283,0.237,0.225,0.204,0.213,0.208,0.219
Uttar Pradesh,June,BARABANKI,0.473,0.479,0.443,0.385,0.373,0.433,0.376,0.543,0.39,0.356,0.403,0.402,0.408,0.451
Uttar Pradesh,June,BAREILLY,0.471,0.478,0.405,0.296,0.326,0.432,0.338,0.526,0.361,0.367,0.395,0.392,0.387,0.42
Uttar Pradesh,June,BASTI,0.372,0.383,0.332,0.345,0.283,0.376,0.277,0.4,0.306,0.312,0.32,0.365,0.331,0.287
Uttar Pradesh,June,BHIMNAGAR,0.389,0.479,0.453,0.312,0.301,0.409,0.361,0.482,0.354,0.347,0.398,0.433,0.383,0.458
Uttar Pradesh,June,BIJNOR,0.514,0.429,0.472,0.379,0.411,0.521,0.379,0.529,0.412,0.434,0.501,0.563,0.544,0.552
Uttar Pradesh,June,BULANDSAHAR,0.379,0.442,0.463,0.307,0.328,0.373,0.328,0.423,0.344,0.344,0.425,0.442,0.359,0.427
Uttar Pradesh,June,CHANDAULI,0.305,0.284,0.239,0.205,0.21,0.253,0.2,0.263,0.235,0.243,0.232,0.232,0.24,0.225
Uttar Pradesh,June,DEORIA,0.303,0.278,0.262,0.272,0.227,0.326,0.236,0.311,0.27,0.298,0.295,0.331,0.278,0.271
Uttar Pradesh,June,ETAH,0.281,0.244,0.358,0.227,0.242,0.276,0.24,0.297,0.253,0.265,0.284,0.33,0.266,0.307
Uttar Pradesh,June,ETAWAH,0.234,0.242,0.318,0.218,0.225,0.262,0.229,0.323,0.268,0.281,0.296,0.331,0.276,0.3
Uttar Pradesh,June,FAIZABAD,0.467,0.435,0.354,0.328,0.327,0.366,0.308,0.512,0.35,0.347,0.353,0.417,0.347,0.35
Uttar Pradesh,June,FARRUKHABAD,0.328,0.256,0.312,0.246,0.263,0.309,0.283,0.373,0.315,0.309,0.327,0.388,0.341,0.383
Uttar Pradesh,June,FATEHPUR,0.215,0.232,0.259,0.239,0.24,0.267,0.225,0.317,0.264,0.264,0.28,0.299,0.257,0.276
Uttar Pradesh,June,FIROZABAD,0.264,0.245,0.312,0.226,0.25,0.255,0.234,0.287,0.262,0.283,0.285,0.303,0.281,0.301
Uttar Pradesh,June,GAUTAMBUDHNAGAR,0.277,0.341,0.38,0.228,0.228,0.278,0.222,0.293,0.263,0.255,0.311,0.319,0.252,0.291
Uttar Pradesh,June,GAZIPUR,0.337,0.306,0.274,0.244,0.226,0.265,0.225,0.301,0.292,0.288,0.307,0.3,0.292,0.257
Uttar Pradesh,June,GHAZIABAD,0.372,0.436,0.451,0.302,0.314,0.421,0.319,0.435,0.37,0.33,0.387,0.448,0.375,0.444
Uttar Pradesh,June,GONDA,0.387,0.409,0.359,0.341,0.312,0.418,0.309,0.47,0.341,0.354,0.398,0.415,0.378,0.371
Uttar Pradesh,June,GORAKHPUR,0.295,0.292,0.273,0.26,0.22,0.317,0.221,0.283,0.261,0.272,0.281,0.298,0.276,0.242
Uttar Pradesh,June,HAMIRPUR1,0.196,0.198,0.246,0.184,0.192,0.203,0.192,0.238,0.239,0.221,0.199,0.215,0.201,0.229
Uttar Pradesh,June,HARDOI,0.358,0.343,0.298,0.243,0.271,0.302,0.249,0.363,0.283,0.28,0.299,0.312,0.28,0.307
Uttar Pradesh,June,JALAUN,0.206,0.227,0.246,0.191,0.189,0.21,0.213,0.261,0.233,0.21,0.194,0.221,0.221,0.265
Uttar Pradesh,June,JAUNPUR,0.292,0.271,0.265,0.256,0.248,0.276,0.227,0.28,0.28,0.285,0.283,0.282,0.273,0.258
Uttar Pradesh,June,JHANSI,0.206,0.217,0.234,0.198,0.2,0.214,0.199,0.241,0.233,0.226,0.203,0.22,0.218,0.243
Uttar Pradesh,June,JYOTIBAPHULE NAGAR,0.46,0.542,0.467,0.379,0.381,0.491,0.398,0.517,0.411,0.426,0.469,0.551,0.482,0.549
Uttar Pradesh,June,KANNAUJ,0.285,0.228,0.305,0.23,0.255,0.291,0.259,0.364,0.319,0.313,0.32,0.375,0.328,0.363
Uttar Pradesh,June,KANPUR,0.226,0.204,0.308,0.217,0.227,0.254,0.216,0.306,0.264,0.249,0.289,0.298,0.253,0.279
Uttar Pradesh,June,KANPUR DEHAT,0.208,0.189,0.278,0.188,0.2,0.225,0.195,0.261,0.241,0.229,0.266,0.269,0.227,0.263
Uttar Pradesh,June,KANSHIRAMNAGAR,0.336,0.315,0.381,0.275,0.265,0.321,0.293,0.355,0.301,0.304,0.314,0.379,0.295,0.35
Uttar Pradesh,June,KAUSHAMBI,0.229,0.252,0.33,0.262,0.239,0.249,0.228,0.331,0.277,0.283,0.275,0.279,0.27,0.264
Uttar Pradesh,June,KHERI,0.445,0.439,0.443,0.356,0.391,0.464,0.349,0.505,0.37,0.413,0.466,0.502,0.451,0.451
Uttar Pradesh,June,KUSHINAGAR,0.404,0.372,0.378,0.385,0.357,0.385,0.306,0.418,0.384,0.393,0.423,0.444,0.42,0.406
Uttar Pradesh,June,LACKNOW,0.419,0.405,0.435,0.318,0.332,0.339,0.289,0.453,0.317,0.319,0.338,0.327,0.332,0.352
Uttar Pradesh,June,LALITPUR,0.256,0.271,0.268,0.239,0.233,0.247,0.23,0.314,0.256,0.258,0.239,0.266,0.24,0.263
Uttar Pradesh,June,MAHAMAYANAGAR,0.289,0.257,0.358,0.265,0.29,0.327,0.268,0.321,0.281,0.334,0.334,0.367,0.312,0.355
Uttar Pradesh,June,MAHARAJGANJ,0.325,0.339,0.334,0.301,0.282,0.311,0.264,0.347,0.308,0.317,0.323,0.351,0.348,0.3
Uttar Pradesh,June,MAHOBA,0.223,0.22,0.237,0.202,0.204,0.215,0.204,0.244,0.251,0.23,0.193,0.218,0.209,0.237
Uttar Pradesh,June,MAINPURI,0.272,0.255,0.389,0.244,0.269,0.29,0.268,0.34,0.28,0.298,0.321,0.368,0.293,0.332
Uttar Pradesh,June,MATHURA,0.24,0.253,0.301,0.206,0.237,0.241,0.197,0.244,0.227,0.27,0.262,0.29,0.244,0.273
Uttar Pradesh,June,MAU,0.329,0.281,0.265,0.256,0.236,0.322,0.22,0.294,0.267,0.28,0.322,0.306,0.277,0.262
Uttar Pradesh,June,MEERUT,0.485,0.517,0.49,0.416,0.418,0.528,0.417,0.517,0.461,0.444,0.507,0.564,0.523,0.575
Uttar Pradesh,June,MIRZAPUR,0.248,0.255,0.248,0.218,0.205,0.214,0.21,0.273,0.257,0.254,0.227,0.254,0.232,0.23
Uttar Pradesh,June,MORADABAD,0.485,0.539,0.482,0.36,0.387,0.502,0.406,0.574,0.401,0.416,0.444,0.465,0.443,0.49
Uttar Pradesh,June,MUZAFARNAGAR,0.501,0.482,0.534,0.455,0.47,0.552,0.436,0.517,0.475,0.471,0.531,0.591,0.584,0.589
Uttar Pradesh,June,PANCHSHIL NAGAR,0.485,0.456,0.465,0.36,0.383,0.467,0.398,0.518,0.426,0.399,0.477,0.517,0.435,0.499
Uttar Pradesh,June,PILHIBHIT,0.453,0.464,0.413,0.322,0.346,0.468,0.35,0.503,0.369,0.411,0.418,0.424,0.417,0.421
Uttar Pradesh,June,PRABUDHNAGAR,0.424,0.455,0.45,0.396,0.441,0.498,0.386,0.509,0.459,0.42,0.478,0.507,0.524,0.525
Uttar Pradesh,June,PRATAPGARH,0.301,0.31,0.29,0.295,0.282,0.303,0.249,0.384,0.297,0.3,0.31,0.299,0.3,0.289
Uttar Pradesh,June,RAIBEARELI,0.293,0.305,0.315,0.278,0.277,0.278,0.254,0.355,0.292,0.292,0.336,0.303,0.301,0.299
Uttar Pradesh,June,RAMPUR,0.487,0.532,0.476,0.355,0.385,0.507,0.412,0.61,0.415,0.402,0.412,0.411,0.397,0.444
Uttar Pradesh,June,SAHUJI MAHARAJ NAGAR,0.21,0.224,0.258,0.235,0.199,0.207,0.196,0.291,0.24,0.24,0.205,0.228,0.22,0.222
Uttar Pradesh,June,SANTKABIRNAGAR,0.306,0.289,0.287,0.275,0.225,0.315,0.23,0.287,0.262,0.27,0.302,0.307,0.274,0.247
Uttar Pradesh,June,SANTRAVIDASNAGAR,0.264,0.272,0.229,0.222,0.221,0.226,0.219,0.257,0.269,0.262,0.242,0.272,0.237,0.241
Uttar Pradesh,June,SHAHJAHANPUR,0.408,0.396,0.377,0.28,0.308,0.371,0.313,0.455,0.334,0.339,0.355,0.364,0.333,0.371
Uttar Pradesh,June,SHARANPUR,0.451,0.439,0.508,0.379,0.403,0.512,0.395,0.527,0.435,0.434,0.495,0.513,0.534,0.502
Uttar Pradesh,June,SHRAWASTI,0.316,0.355,0.363,0.352,0.255,0.384,0.265,0.434,0.31,0.301,0.365,0.355,0.348,0.35
Uttar Pradesh,June,SIDDHARTHNAGAR,0.293,0.293,0.314,0.265,0.239,0.297,0.219,0.274,0.238,0.28,0.298,0.285,0.279,0.248
Uttar Pradesh,June,SITAPUR,0.438,0.444,0.393,0.322,0.361,0.419,0.334,0.492,0.345,0.345,0.391,0.428,0.394,0.406
Uttar Pradesh,June,SONBHADRA,0.286,0.253,0.309,0.221,0.225,0.255,0.233,0.321,0.292,0.27,0.238,0.276,0.275,0.267
Uttar Pradesh,June,SULTANPUR,0.347,0.36,0.304,0.286,0.287,0.285,0.254,0.355,0.31,0.317,0.334,0.337,0.315,0.284
Uttar Pradesh,June,UNNAO,0.278,0.268,0.315,0.238,0.25,0.267,0.23,0.391,0.272,0.269,0.286,0.261,0.252,0.271
Uttar Pradesh,June,VARANASI,0.291,0.309,0.244,0.246,0.233,0.268,0.242,0.296,0.287,0.298,0.288,0.292,0.265,0.266
Uttar Pradesh,July,AGRA,0.334,0.377,0.429,0.25,0.379,0.25,0.3,0.431,0.269,0.324,0.336,0.333,0.277,0.325
Uttar Pradesh,July,ALIGARH,0.395,0.421,0.471,0.309,0.437,0.309,0.318,0.437,0.301,0.408,0.455,0.436,0.329,0.38
Uttar Pradesh,July,ALLAHABAD,0.342,0.326,0.397,0.338,0.38,0.338,0.329,0.404,0.315,0.424,0.384,0.373,0.329,0.358
Uttar Pradesh,July,AMBEDKARNAGAR,0.398,0.401,0.411,0.383,0.431,0.383,0.405,0.464,0.398,0.495,0.387,0.438,0.417,0.381
Uttar Pradesh,July,AMETHI,0.352,0.348,0.436,0.33,0.428,0.33,0.312,0.418,0.364,0.444,0.371,0.417,0.406,0.398
Uttar Pradesh,July,AURAIYA,0.391,0.29,0.325,0.275,0.321,0.275,0.3,0.443,0.253,0.342,0.339,0.358,0.264,0.34
Uttar Pradesh,July,AZAMGARH,0.37,0.366,0.396,0.352,0.4,0.352,0.352,0.444,0.377,0.473,0.366,0.386,0.351,0.319
Uttar Pradesh,July,BADAUN,0.41,0.387,0.471,0.275,0.448,0.275,0.329,0.519,0.318,0.408,0.432,0.446,0.315,0.394
Uttar Pradesh,July,BAGHPAT,0.63,0.613,0.611,0.627,0.622,0.627,0.541,0.605,0.635,0.644,0.638,0.701,0.627,0.689
Uttar Pradesh,July,BAHRAICH,0.419,0.364,0.459,0.398,0.457,0.398,0.396,0.48,0.397,0.465,0.416,0.499,0.448,0.452
Uttar Pradesh,July,BALLIA,0.37,0.332,0.294,0.302,0.332,0.302,0.305,0.368,0.37,0.437,0.35,0.318,0.289,0.293
Uttar Pradesh,July,BALRAMPUR,0.502,0.447,0.444,0.464,0.46,0.464,0.426,0.493,0.472,0.52,0.524,0.524,0.486,0.452
Uttar Pradesh,July,BANDA,0.32,0.281,0.351,0.319,0.329,0.319,0.319,0.415,0.241,0.385,0.305,0.326,0.296,0.366
Uttar Pradesh,July,BARABANKI,0.434,0.399,0.5,0.431,0.486,0.431,0.331,0.468,0.397,0.483,0.404,0.448,0.404,0.42
Uttar Pradesh,July,BAREILLY,0.434,0.525,0.493,0.398,0.506,0.399,0.402,0.557,0.421,0.537,0.505,0.582,0.458,0.544
